code,name,year,rank,index_over,band_over,index_inci,band_inci,index_fata,band_fata,index_inju,band_inju,index_prop,band_prop
AFG,Afghanistan,2017,2,8.494,6,314,6,1256,6,2168,6,74,6
AGO,Angola,2017,104,0.114,2,0,1,0,1,0,1,0,1
ALB,Albania,2017,107,0,1,0,1,0,1,0,1,0,1
ARE,United Arab Emirates,2017,92,0.406,2,0,1,0,1,0,1,0,1
ARG,Argentina,2017,61,1.933,2,9,3,0,1,3,2,0,1
ARM,Armenia,2017,95,0.233,2,0,1,0,1,0,1,0,1
AUS,Australia,2017,64,1.712,2,1,2,1,2,3,2,0,1
AUT,Austria,2017,68,1.397,2,0,1,0,1,0,1,0,1
AZE,Azerbaijan,2017,95,0.233,2,0,1,0,1,0,1,0,1
BDI,Burundi,2017,35,4.194,4,4,2,13,3,97,5,0,1
BEL,Belgium,2017,32,4.271,4,6,3,0,1,1,2,0,1
BEN,Benin,2017,107,0,1,0,1,0,1,0,1,0,1
BFA,Burkina Faso,2017,21,5.433,4,60,5,72,5,65,5,7,3
BGD,Bangladesh,2017,30,4.689,4,20,3,11,3,57,5,0,1
BGR,Bulgaria,2017,107,0,1,0,1,0,1,0,1,0,1
BHR,Bahrain,2017,45,3.533,3,14,3,4,2,25,4,0,1
BIH,Bosnia and Herzegovina,2017,73,1.124,2,0,1,0,1,0,1,0,1
BLR,Belarus,2017,107,0,1,0,1,0,1,0,1,0,1
BOL,Bolivia,2017,107,0,1,0,1,0,1,0,1,0,1
BRA,Brazil,2017,89,0.423,2,0,1,0,1,0,1,0,1
BTN,Bhutan,2017,107,0,1,0,1,0,1,0,1,0,1
BWA,Botswana,2017,107,0,1,0,1,0,1,0,1,0,1
CAF,Central African Republic,2017,43,3.669,3,0,1,0,1,0,1,0,1
CAN,Canada,2017,49,3.159,3,8,3,6,3,25,4,0,1
CHE,Switzerland,2017,89,0.423,2,1,2,0,1,0,1,0,1
CHL,Chile,2017,46,3.477,3,37,4,0,1,6,3,0,1
CHN,China,2017,29,4.719,4,4,2,10,3,8,3,0,1
CIV,Cote d' Ivoire,2017,52,3.058,3,0,1,0,1,0,1,0,1
CMR,Cameroon,2017,12,6.657,5,87,5,170,6,194,6,33,5
