code,name,year,rank,index_over,band_over,index_inci,band_inci,index_fata,band_fata,index_inju,band_inju,index_prop,band_prop
AFG,Afghanistan,2014,4,8.547,6,356,6,1143,6,1531,6,19,4
AGO,Angola,2014,74,0.915,2,2,2,0,1,0,1,0,1
ALB,Albania,2014,105,0.044,2,0,1,0,1,0,1,0,1
ARE,United Arab Emirates,2014,70,1.293,2,2,2,1,2,0,1,0,1
ARG,Argentina,2014,75,0.888,2,0,1,0,1,0,1,0,1
ARM,Armenia,2014,110,0,1,0,1,0,1,0,1,0,1
AUS,Australia,2014,65,1.55,2,1,2,2,2,0,1,0,1
AUT,Austria,2014,110,0,1,0,1,0,1,0,1,0,1
AZE,Azerbaijan,2014,91,0.31,2,0,1,0,1,0,1,0,1
BDI,Burundi,2014,53,2.302,3,0,1,0,1,0,1,0,1
BEL,Belgium,2014,60,1.893,2,1,2,3,2,1,2,0,1
BEN,Benin,2014,110,0,1,0,1,0,1,0,1,0,1
BFA,Burkina Faso,2014,110,0,1,0,1,0,1,0,1,0,1
BGD,Bangladesh,2014,37,3.086,3,4,2,2,2,2,2,0,1
BGR,Bulgaria,2014,60,1.893,2,0,1,0,1,0,1,0,1
BHR,Bahrain,2014,27,3.87,3,30,4,6,3,22,4,0,1
BIH,Bosnia and Herzegovina,2014,85,0.459,2,0,1,0,1,0,1,0,1
BLR,Belarus,2014,56,2.117,3,0,1,0,1,0,1,0,1
BOL,Bolivia,2014,110,0,1,0,1,0,1,0,1,0,1
BRA,Brazil,2014,100,0.059,2,0,1,0,1,0,1,0,1
BTN,Bhutan,2014,110,0,1,0,1,0,1,0,1,0,1
BWA,Botswana,2014,110,0,1,0,1,0,1,0,1,0,1
CAF,Central African Republic,2014,38,2.929,3,1,2,6,3,10,3,0,1
CAN,Canada,2014,62,1.707,2,2,2,2,2,1,2,0,1
CHE,Switzerland,2014,95,0.167,2,0,1,0,1,0,1,0,1
CHL,Chile,2014,40,2.821,3,15,3,0,1,17,3,0,1
CHN,China,2014,18,5.494,4,11,3,72,5,332,6,0,1
CIV,Cote d' Ivoire,2014,54,2.22,3,0,1,0,1,0,1,0,1
CMR,Cameroon,2014,19,5.38,4,15,3,120,6,16,3,13,4
COD,Democratic Republic of the Congo,2014,24,4.087,4,1,2,0,1,6,3,0,1
COG,Republic of the Congo,2014,110,0,1,0,1,0,1,0,1,0,1
COL,Colombia,2014,12,6.479,5,112,6,59,5,232,6,14,4
CRI,Costa Rica,2014,110,0,1,0,1,0,1,0,1,0,1
CUB,Cuba,2014,110,0,1,0,1,0,1,0,1,0,1
CYP,Cyprus,2014,100,0.059,2,0,1,0,1,0,1,0,1
CZE,Czechia,2014,110,0,1,0,1,0,1,0,1,0,1
DEU,Germany,2014,72,1.116,2,1,2,0,1,0,1,0,1
DJI,Djibouti,2014,68,1.491,2,1,2,0,1,11,3,0,1
DNK,Denmark,2014,100,0.059,2,0,1,0,1,0,1,0,1
DOM,Dominican Republic,2014,110,0,1,0,1,0,1,0,1,0,1
DZA,Algeria,2014,20,5.306,4,10,3,33,4,0,1,0,1
ECU,Ecuador,2014,94,0.233,2,0,1,0,1,0,1,0,1
EGY,Egypt,2014,11,6.591,5,145,6,200,6,335,6,0,1
ERI,Eritrea,2014,77,0.85,2,0,1,0,1,0,1,0,1
ESP,Spain,2014,79,0.792,2,2,2,0,1,0,1,0,1
EST,Estonia,2014,93,0.241,2,0,1,0,1,0,1,0,1
ETH,Ethiopia,2014,31,3.479,3,1,2,9,3,0,1,0,1
FIN,Finland,2014,110,0,1,0,1,0,1,0,1,0,1
FRA,France,2014,47,2.586,3,3,2,0,1,16,3,0,1
GAB,Gabon,2014,110,0,1,0,1,0,1,0,1,0,1
GBR,United Kingdom,2014,32,3.434,3,25,4,0,1,2,2,0,1
GEO,Georgia,2014,59,1.933,2,0,1,0,1,0,1,0,1
GHA,Ghana,2014,110,0,1,0,1,0,1,0,1,0,1
GIN,Guinea,2014,110,0,1,0,1,0,1,0,1,0,1
GMB,The Gambia,2014,110,0,1,0,1,0,1,0,1,0,1
GNB,Guinea-Bissau,2014,87,0.423,2,0,1,0,1,0,1,0,1
GNQ,Equatorial Guinea,2014,110,0,1,0,1,0,1,0,1,0,1
GRC,Greece,2014,51,2.409,3,3,2,0,1,0,1,0,1
GTM,Guatemala,2014,67,1.528,2,0,1,0,1,0,1,0,1
GUY,Guyana,2014,110,0,1,0,1,0,1,0,1,0,1
HND,Honduras,2014,97,0.114,2,0,1,0,1,0,1,0,1
HRV,Croatia,2014,90,0.333,2,0,1,0,1,0,1,0,1
HTI,Haiti,2014,110,0,1,0,1,0,1,0,1,0,1
HUN,Hungary,2014,87,0.423,2,1,2,0,1,0,1,0,1
IDN,Indonesia,2014,28,3.653,3,4,2,3,2,6,3,0,1
IND,India,2014,8,6.896,5,121,6,168,6,190,6,25,4
IRL,Ireland,2014,71,1.171,2,3,2,0,1,0,1,0,1
IRN,Iran,2014,26,3.979,3,6,3,4,2,3,2,5,3
IRQ,Iraq,2014,1,9.669,6,1243,6,3206,6,6058,6,272,6
ISL,Iceland,2014,110,0,1,0,1,0,1,0,1,0,1
