code,name,year,rank,index_over,band_over,index_dist,band_dist,index_poli,band_poli,index_homi,band_homi,index_jail,band_jail,index_wmid,band_wmid,index_inco,band_inco,index_demo,band_demo,index_crim,band_crim,index_inst,band_inst,index_rehr,band_rehr,index_weim,band_weim,index_gtdx,band_gtdx,index_icon,band_icon,index_ndic,band_ndic,index_mexp,band_mexp,index_army,band_army,index_unfu,band_unfu,index_hewe,band_hewe,index_weex,band_weex,index_refu,band_refu,index_rela,band_rela,index_econ,band_econ,index_ndec,band_ndec,index_militarisation,band_militarisation,index_safety_security,band_safety_security,index_domestic_international_conflict,band_domestic_international_conflict
AFG,Afghanistan,2016,162,3.338315002,5,3.921,5,3.5,5,3.062,4,1.665,2,5,5,5,5,2,4,5,5,5,5,4.5,5,1.814,5,4.553,5,2.947,5,4.773,5,5,5,1.723,4,1.27028272,2,1.129,4,1,1,4.749,5,4,5,1,1,1,1,2.411856791,5,3.870823529,5,3.369135266,5
AGO,Angola,2016,81,1.960274379,3,3.458,5,2.5,2,2.712,3,1.759,2,3,2,2,2,1,1,3,3,2.75,3,3.5,4,1.043,2,1.499,3,1,1,1,1,2.821,5,1.578,4,3.593830709,5,1.348,5,1,1,1.014,3,2,2,1,1,1,1,2.006803613,4,2.383911765,3,1.40257649,2
ALB,Albania,2016,47,1.779144922,2,2.98,3,2.632,4,2.567,3,2.622,4,4,3,1,1,1,1,3,3,2.625,3,2,2,1.172,3,1,1,1,1,1,1,1.616,3,1.422,3,1.837572404,3,1.001,1,1,1,1.119,4,2,2,1.625,4,1,1,1.770479106,3,2.204294118,2,1.258655395,2
ARE,United Arab Emirates,2016,57,1.826181208,2,1.355,1,4.5,5,1.31,1,1.846,3,2,1,2,2,1,1,1,1,2.25,3,2.5,3,5,5,1.913,3,1.053,4,1,1,3.126,5,2.074,5,1.229757946,2,1.502,5,2.273,5,1,1,2,2,1.75,5,1,1,2.363795052,5,1.8285,2,1.476879227,3
ARG,Argentina,2016,78,1.954253958,3,3.659,5,4.436,5,3.32,4,2.377,4,3,2,2,2,1,1,3,3,2.5,3,3,3,1.02,2,1.677,3,1,1,1,1,1.473,2,1.261,2,1.60518315,3,1.279,4,1.001,4,1,1,2,2,1,1,1,1,1.562256841,1,2.619117647,4,1.40257649,2
ARM,Armenia,2016,96,2.036732196,3,1.7,1,2.5,2,2.042,2,2.044,3,3,2,2,2,1.25,3,2,1,3,4,3,3,1.1,3,1,1,1.105,4,1,1,2.887,5,3.366,5,1.517705003,3,1.076,3,1,1,1.128,4,5,5,1.825,5,1,1,1.939377059,4,2.034176471,2,2.092987118,5
AUS,Australia,2016,13,1.405632935,1,2.619,3,2.318,2,1.525,1,2.139,3,1,1,1,1,1,1,1,1,1,1,1.5,1,3.94,5,2.12,3,1,1,1,1,2.051,4,1.362,3,1.028220955,1,1.259,4,1.501,5,1,1,1,1,1.75,5,1,1,1.649555406,2,1.546117647,1,1.06884058,1
AUT,Austria,2016,3,1.242780378,1,1.853,1,2.624,4,1.36,1,1.799,3,2,1,1,1,1,1,1,1,1,1,1,1,1.041,2,1,1,1,1,1,1,1.334,1,1.391,3,1.028217386,1,1.066,3,1.412,5,1,1,1,1,1.625,4,1,1,1.354260869,1,1.331411765,1,1.05736715,1
AZE,Azerbaijan,2016,131,2.274777525,3,1.875,1,1.678,1,2.087,2,2.859,5,4,3,2,2,1,1,2,1,3.5,5,3,3,4.267,5,1.274,3,1.263,5,1.348,4,2.548,5,2.032,5,1.387249899,2,1.263,4,1,1,3.098,5,5,5,1.625,4,1,1,2.309264694,5,2.338941176,3,2.160961353,5
BDI,Burundi,2016,144,2.540559989,4,3.687,5,1.734,1,2.862,4,1.625,2,4,3,5,5,3.5,5,3.5,4,3.875,5,3,3,1.008,1,3.069,4,1.053,4,2.048,5,1.98,4,1.284,2,3.909222183,5,1.016,2,1,1,1.976,5,3,4,1.6,4,1.083,5,2.024143786,4,2.900823529,5,2.495921095,5
BEL,Belgium,2016,17,1.459112388,2,2.244,2,2.727,4,2.27,3,1.831,3,2,1,1,1,1,1,2,1,1.25,1,1,1,1.314,4,3.32,5,1,1,1,1,1.416,1,1.416,3,1.25943999,2,1.086,3,1.514,5,1,1,1,1,1.85,5,1,1,1.447698822,1,1.768411765,1,1.078019324,1
BEN,Benin,2016,69,1.921392338,3,3.23,4,3.5,5,3.082,4,1.53,2,4,3,2,2,2,4,3,3,2.375,3,2,2,1.029,2,1,1,1,1,1,1,1.382,1,1.097,1,4.074854137,5,1.007,1,1,1,1.001,2,2,2,1.3,3,1,1,1.95215931,4,2.312117647,3,1.430112721,2
BFA,Burkina Faso,2016,91,2.014608261,3,2.5,2,3.5,5,1.355,1,1.301,1,4,3,2,2,3,5,4,4,3.125,4,3,3,1.018,2,3.115,4,1,1,1,1,1.597,3,1.091,1,3.394190718,5,1.01,2,1,1,1.004,3,2,2,1.3,3,1,1,1.89590479,3,2.560852941,4,1.430112721,2
BGD,Bangladesh,2016,73,1.937885248,3,1.851,1,1.5,1,2.22,3,1.332,1,3,2,3,3,3.75,5,2,1,3.25,4,4,5,1.161,3,3.154,5,1.053,4,1,1,1.459,2,1.151,1,1.925782582,3,1.169,4,1,1,1.003,2,2,2,1.3,3,1,1,1.582386186,2,2.397029412,3,1.636863124,3
BGR,Bulgaria,2016,31,1.612212701,2,2.937,3,2.836,4,1.75,2,1.965,3,3,2,1,1,1,1,3,3,1.875,2,2,2,1.073,3,2.006,3,1,1,1,1,1.526,2,1.651,4,1.713319487,3,1.094,3,1.439,5,1.006,3,1,1,1.625,4,1,1,1.677978763,2,2.022058824,2,1.05736715,1
BHR,Bahrain,2016,122,2.190720265,3,2.544,2,5,5,1.265,1,3.223,5,3,2,4,5,1.5,3,2,1,3.5,5,3,3,2.247,5,2.788,4,1.053,4,1,1,3.212,5,1.915,5,1,1,1.122,4,1,1,1.01,3,3,4,1.25,3,1,1,1.889058824,3,2.514029412,4,2.034850242,4
BIH,Bosnia and Herzegovina,2016,50,1.793872472,2,2.428,2,3.319,4,1.65,2,1.617,2,3,2,2,2,1,1,2,1,3.25,4,2,2,1,1,2.371,4,1,1,1,1,1.478,2,1.437,3,1.799546224,3,1.032,2,1.127,4,2.095,5,2,2,1.625,4,1,1,1.58271132,2,2.171,2,1.459943639,3
BLR,Belarus,2016,102,2.059347793,3,2.428,2,2.669,4,2.382,3,3.484,5,3,2,3,3,1,1,2,1,3.375,4,2.5,3,1.555,4,2.116,3,1,1,1,1,1.473,2,1.752,4,1.603308015,3,1.245,4,2.98,5,1.014,3,3,4,1,1,1,1,2.025977413,4,2.295852941,3,1.805152979,4
BOL,Bolivia,2016,64,1.891032693,2,3.46,5,2.758,4,3.042,4,2.028,3,4,3,2,2,1,1,3,3,2.75,3,2,2,1.108,3,1,1,1,1,1,1,1.626,3,1.655,4,3.178707538,4,1.04,3,1,1,1.002,2,2,2,1,1,1,1,1.956200887,4,2.262176471,3,1.40257649,2
BRA,Brazil,2016,115,2.140291784,3,3.967,5,2.333,2,5,5,3.381,5,4,3,1,1,2.75,5,4,4,2,2,4,5,1.082,3,1.696,3,1.105,4,1,1,1.626,3,1.248,2,3.859740584,5,1.388,5,1.024,4,1,1,1,1,1.2,3,1,1,2.051028304,4,3.078970588,5,1.029178744,1
BTN,Bhutan,2016,19,1.469224438,2,2.604,3,1.5,1,2.345,3,2.131,3,2,1,2,2,1,1,1,1,1,1,1,1,1.019,2,1,1,1,1,1,1,1.956,4,1.211,2,1.810081573,3,1,1,1,1,1.785,5,2,2,1.2,3,1,1,1.411303714,1,1.536029412,1,1.420933977,2
BWA,Botswana,2016,42,1.728450379,2,4.044,5,3.212,4,4.525,5,2.598,4,3,2,1,1,1.25,3,3,3,1.5,1,1,1,1.087,3,1,1,1,1,1,1,2.424,4,1.594,4,1.656273886,3,1.042,3,1,1,1.004,3,1,1,1,1,1,1,1.685208692,2,2.336117647,3,1,1
CAF,Central African Republic,2016,158,3.07633411,5,2.882,3,1.5,1,4.365,5,1.15,1,5,5,5,5,3.5,5,5,5,5,5,5,5,1.02,2,3.064,4,2.947,5,3.592,5,1.75,3,1.226,2,2.144675549,4,1.003,1,1,1,5,5,3,4,1,1,1,1,1.958255947,4,3.843647059,5,2.930125604,5
CAN,Canada,2016,6,1.324103129,1,1.91,1,1.981,2,1.72,2,1.902,3,2,1,1,1,1,1,1,1,1,1,1,1,1.587,4,2.152,4,1,1,1,1,1.497,2,1.281,2,1,1,1.314,5,1.924,5,1,1,1,1,1.8,5,1,1,1.555529412,1,1.398911765,1,1.073429952,1
