code,name,year,rank,index_over,band_over,index_dist,band_dist,index_poli,band_poli,index_homi,band_homi,index_jail,band_jail,index_wmid,band_wmid,index_inco,band_inco,index_demo,band_demo,index_crim,band_crim,index_inst,band_inst,index_rehr,band_rehr,index_weim,band_weim,index_gtdx,band_gtdx,index_icon,band_icon,index_ndic,band_ndic,index_mexp,band_mexp,index_army,band_army,index_unfu,band_unfu,index_hewe,band_hewe,index_weex,band_weex,index_refu,band_refu,index_rela,band_rela,index_econ,band_econ,index_ndec,band_ndec,index_militarisation,band_militarisation,index_safety_security,band_safety_security,index_domestic_international_conflict,band_domestic_international_conflict
AFG,Afghanistan,2013,162,3.240033432,5,4.058,5,3.5,5,2.343,3,1.649,2,5,5,5,5,1.75,4,5,5,5,5,5,5,1.964,5,4.657,5,2.947,5,4.439,5,5,5,1.889,5,2.159653851,3,1.064890417,3,1,1,4.323,5,3,4,1,1,1,1,2.542351703,5,3.789676471,5,3.100616747,5
AGO,Angola,2013,94,2.033896641,3,3.521,5,2.5,3,2.59,3,1.712,2,3,2,2,2,2.25,4,3,3,2.75,3,3,3,1.029,2,1.667,3,1.105,4,1,1,2.548,5,1.807,4,2.88586046,4,1.342049484,4,1,1,1.025,4,3,4,1,1,1,1,1.915639375,4,2.433617647,3,1.61468599,3
ALB,Albania,2013,55,1.818658046,2,2.381,2,2.64,4,2.577,3,2.321,4,4,3,1,1,1,1,3,3,3.25,4,2,2,1.071,3,1.241,2,1,1,1,1,1.712,3,1.658,4,2.503425625,4,1.002144683,1,1,1,1.143,4,2,2,1.875,5,1,1,1.876193253,3,2.217294118,2,1.281602254,2
ARE,United Arab Emirates,2013,34,1.665133053,2,1.355,1,4.5,5,1.39,1,1.846,3,2,1,1,1,1,1,1,1,2.375,3,1.5,1,5,5,1,1,1.053,4,1,1,2.515,5,2.037,5,2.163857765,3,1.559102428,5,1.487,5,1.002,2,2,2,1.375,4,1,1,2.268824871,5,1.6815,1,1.241170692,2
ARG,Argentina,2013,82,1.972375989,3,3.251,4,4.436,5,2.958,4,2.242,4,3,2,2,2,1,1,3,3,2.75,3,2.5,3,1.023,2,2.109,4,1,1,1,1,1.401,1,1.269,2,1,1,1.439000166,4,1.001,4,1,1,3,4,1,1,1,1,1.512117676,1,2.524617647,4,1.603864734,3
ARM,Armenia,2013,107,2.135239466,3,2.053,1,2.5,3,1.975,2,2.21,4,4,3,2,2,1,1,3,3,3.25,4,3,3,1.483,4,1.063,2,1,1,1,1,2.782,5,3.401,5,1,1,1.090956567,3,1,1,1.18,5,5,5,1.7,5,1,1,2.0944041,4,2.206911765,2,2.070692432,5
AUS,Australia,2013,11,1.423009337,1,2.55,3,2.309,2,1.52,1,2.028,3,1,1,1,1,1,1,2,1,1,1,1,1,4.208,5,1,1,1,1,1,1,1.96,4,1.38,3,1.209127567,2,1.42008296,4,1.574,5,1,1,1,1,2,5,1,1,1.735088471,2,1.521794118,1,1.09178744,1
AUT,Austria,2013,3,1.287280648,1,1.711,1,2.635,4,1.345,1,1.799,2,2,1,1,1,1,1,1,1,1,1,1,1,1.824,5,1.599,3,1,1,1,1,1.373,1,1.413,3,1.217239628,2,1.160961228,3,1.607,5,1,1,1,1,1.5,4,1,1,1.526962526,1,1.353323529,1,1.04589372,1
AZE,Azerbaijan,2013,128,2.285505422,3,2.116,2,1.678,1,2.07,2,2.756,5,4,3,2,2,2,4,2,1,3.75,5,3,3,2.904,5,1.969,3,1.158,4,1.043,4,2.204,5,2.103,5,1.20223848,2,1.214908261,4,1,1,3.139,5,5,5,1.875,5,1,1,2.086541279,4,2.512470588,4,2.111694042,5
BDI,Burundi,2013,131,2.291782539,3,2.636,3,2.289,2,2.852,4,1.815,3,4,3,4,4,2.5,5,3,3,3.375,4,3.5,4,1.012,2,2.888,5,1.211,4,1,1,2.271,5,1.348,2,3.783436326,5,1.014132913,1,1,1,1.512,5,3,4,1,1,1,1,2.051251258,4,2.660352941,4,2.028186795,4
BEL,Belgium,2013,14,1.467225848,2,2.236,2,2.825,4,2.27,3,1.807,2,2,1,1,1,1,1,2,1,1.25,1,1,1,1.463,4,1.332,3,1,1,1,1,1.507,2,1.471,3,1.605661349,2,1.143693778,3,2.525,5,1,1,1,1,1.625,4,1,1,1.711729649,2,1.657294118,1,1.05736715,1
BEN,Benin,2013,90,2.021311759,3,2.934,3,3.5,5,3.082,4,1.57,2,4,3,4,4,1.5,3,3,3,2.25,2,2,2,1.031,2,1,1,1,1,1,1,1.334,1,1.114,1,2.250731846,3,1.008523741,1,1,1,1.001,2,3,4,1,1,1,1,1.734413819,2,2.230705882,2,2.006441224,4
BFA,Burkina Faso,2013,58,1.83210983,2,2.662,3,3.5,5,1.395,1,1.237,1,4,3,2,2,2.5,5,3,3,3.375,4,3,3,1.018,2,1,1,1,1,1,1,1.521,2,1.096,1,1.043038962,1,1.01374797,1,1,1,1.003,3,2,2,1,1,1,1,1.611607167,1,2.317323529,3,1.40257649,2
BGD,Bangladesh,2013,103,2.07330852,3,1.837,1,1.433,1,2.175,3,1.348,1,3,2,3,3,4,5,4,4,3.5,5,3.5,4,1.032,2,2.787,4,1,1,1,1,1.464,2,1.156,1,4.199978126,5,1.209629041,4,1,1,1.002,2,2,2,1,1,1,1,1.843108434,3,2.592235294,4,1.603864734,3
BGR,Bulgaria,2013,37,1.684037853,2,3.027,3,2.982,4,1.995,2,2.068,3,3,2,1,1,1,1,3,3,1.75,2,2,2,1.507,4,2.712,4,1,1,1,1,1.578,3,1.645,4,2.304062648,4,1.344249159,4,1.14,4,1.009,3,1,1,1.875,5,1,1,1.795345457,3,2.107970588,2,1.08031401,1
BHR,Bahrain,2013,109,2.144162886,3,2.544,3,5,5,1.08,1,2.4,4,2,1,4,4,2.5,5,2,1,3.5,5,3,3,2.734,5,2.602,4,1.053,4,1.913,5,2.878,5,1.905,5,1.559436181,2,1.15837661,3,1,1,1.008,3,2,2,1,1,1,1,1.801647188,3,2.496705882,4,1.994391304,4
BIH,Bosnia and Herzegovina,2013,50,1.78485693,2,2.496,3,3.245,4,1.755,2,1.68,2,3,2,2,2,1,1,2,1,3,3,1.5,1,1,1,1.892,3,1,1,1,1,1.559,2,1.445,3,2.044259975,3,1.229096166,4,1.1,4,2.392,5,2,2,1.625,4,1,1,1.651988732,2,2.106911765,2,1.459943639,3
BLR,Belarus,2013,101,2.069153309,3,2.327,2,2.669,4,2.565,3,3.413,5,3,2,3,3,1,1,2,1,3.25,4,2.5,3,1.217,3,2.837,4,1,1,1,1,1.401,1,1.774,4,1.748951312,3,1.507685022,5,2.732,5,1.021,4,3,4,1,1,1,1,2.000056335,4,2.330735294,3,1.805152979,4
BOL,Bolivia,2013,85,1.99707061,3,3.653,5,2.794,4,3.042,4,2.068,3,4,3,3,3,1.25,3,3,3,3.125,4,2,2,1.062,2,1.382,3,1,1,1,1,1.588,3,1.682,4,3,4,1.070224629,3,1,1,1.002,2,2,2,1,1,1,1,1.933804346,4,2.374558824,3,1.603864734,3
