code,name,year,rank,index_over,band_over,index_inci,band_inci,index_fata,band_fata,index_inju,band_inju,index_prop,band_prop
AFG,Afghanistan,2012,3,8.825,6,507,6,1511,6,2612,6,67,6
AGO,Angola,2012,74,1.207,2,0,1,0,1,0,1,0,1
ALB,Albania,2012,101,0.229,2,0,1,0,1,0,1,0,1
ARE,United Arab Emirates,2012,113,0,1,0,1,0,1,0,1,0,1
ARG,Argentina,2012,63,1.627,2,2,2,0,1,0,1,0,1
ARM,Armenia,2012,112,0.03,2,0,1,0,1,0,1,0,1
AUS,Australia,2012,113,0,1,0,1,0,1,0,1,0,1
AUT,Austria,2012,88,0.548,2,0,1,0,1,0,1,0,1
AZE,Azerbaijan,2012,69,1.236,2,0,1,0,1,0,1,0,1
BDI,Burundi,2012,32,3.715,3,0,1,0,1,0,1,0,1
BEL,Belgium,2012,97,0.233,2,0,1,0,1,0,1,0,1
BEN,Benin,2012,113,0,1,0,1,0,1,0,1,0,1
BFA,Burkina Faso,2012,113,0,1,0,1,0,1,0,1,0,1
BGD,Bangladesh,2012,37,3.387,3,7,3,5,2,24,4,0,1
BGR,Bulgaria,2012,42,3.17,3,2,2,8,3,32,4,0,1
BHR,Bahrain,2012,49,2.688,3,10,3,2,2,17,3,0,1
BIH,Bosnia and Herzegovina,2012,80,0.894,2,0,1,0,1,0,1,0,1
BLR,Belarus,2012,35,3.522,3,0,1,0,1,0,1,0,1
BOL,Bolivia,2012,94,0.265,2,0,1,0,1,0,1,0,1
BRA,Brazil,2012,97,0.233,2,0,1,0,1,0,1,0,1
BTN,Bhutan,2012,85,0.672,2,0,1,0,1,0,1,0,1
BWA,Botswana,2012,113,0,1,0,1,0,1,0,1,0,1
CAF,Central African Republic,2012,44,3.078,3,1,2,1,2,6,3,0,1
CAN,Canada,2012,95,0.241,2,0,1,0,1,0,1,0,1
CHE,Switzerland,2012,87,0.582,2,0,1,0,1,0,1,0,1
CHL,Chile,2012,64,1.615,2,1,2,0,1,0,1,0,1
CHN,China,2012,30,4.024,4,2,2,13,3,10,3,0,1
CIV,Cote d' Ivoire,2012,43,3.153,3,4,2,12,3,0,1,0,1
CMR,Cameroon,2012,57,2.049,3,0,1,0,1,0,1,0,1
COD,Democratic Republic of the Congo,2012,16,4.959,4,4,2,35,4,66,5,3,3
COG,Republic of the Congo,2012,103,0.167,2,0,1,0,1,0,1,0,1
COL,Colombia,2012,12,6.786,5,119,6,181,6,484,6,21,4
CRI,Costa Rica,2012,113,0,1,0,1,0,1,0,1,0,1
CUB,Cuba,2012,113,0,1,0,1,0,1,0,1,0,1
CYP,Cyprus,2012,97,0.233,2,0,1,0,1,0,1,0,1
CZE,Czechia,2012,113,0,1,0,1,0,1,0,1,0,1
DEU,Germany,2012,58,2.041,3,3,2,0,1,0,1,0,1
DJI,Djibouti,2012,113,0,1,0,1,0,1,0,1,0,1
DNK,Denmark,2012,97,0.233,2,0,1,0,1,0,1,0,1
DOM,Dominican Republic,2012,113,0,1,0,1,0,1,0,1,0,1
DZA,Algeria,2012,15,5.975,4,41,4,43,4,135,6,1,2
