code,name,year,rank,index_over,band_over,index_dist,band_dist,index_poli,band_poli,index_homi,band_homi,index_jail,band_jail,index_wmid,band_wmid,index_inco,band_inco,index_demo,band_demo,index_crim,band_crim,index_inst,band_inst,index_rehr,band_rehr,index_weim,band_weim,index_gtdx,band_gtdx,index_icon,band_icon,index_ndic,band_ndic,index_mexp,band_mexp,index_army,band_army,index_unfu,band_unfu,index_hewe,band_hewe,index_weex,band_weex,index_refu,band_refu,index_rela,band_rela,index_econ,band_econ,index_ndec,band_ndec,index_militarisation,band_militarisation,index_safety_security,band_safety_security,index_domestic_international_conflict,band_domestic_international_conflict
AFG,Afghanistan,2017,163,3.385683255,5,3.995,5,3.5,5,3.062,4,1.665,2,5,5,5,5,1.75,3,5,5,5,5,4.5,5,1.593,4,4.524,5,3.579,5,5,5,5,5,1.764,4,1.634,3,1.128,4,1,1,5,5,4,5,1,1,1,1,2.433294118,5,3.883117647,5,3.479961353,5
AGO,Angola,2017,77,1.936424634,3,3.458,5,2.5,2,2.712,3,1.759,2,3,2,2,2,2.5,4,3,3,2.75,3,3,3,1.119,3,1.332,3,1,1,1,1,2.405,5,1.558,4,2.163,4,1.348,5,1,1,1.009,3,2,1,1,1,1,1,1.796117647,3,2.447029412,4,1.40257649,2
ALB,Albania,2017,48,1.785519609,2,2.764,3,2.662,4,2.51,3,2.622,4,4,3,1,1,1,1,3,3,2.5,3,2.5,3,1.172,3,1,1,1,1,1,1,1.636,3,1.422,3,1.853,3,1.001,1,1,1,1.126,4,2,1,1.5,3,1,1,1.774647059,3,2.226117647,2,1.247181965,1
ARE,United Arab Emirates,2017,73,1.92931474,3,1.355,1,4.5,5,1.33,1,1.846,3,2,1,2,2,1,1,1,1,2.375,3,3,3,5,5,1.696,3,1,1,1,1,3.241,5,2.065,5,2.862,4,1.526,5,2.543,5,1,1,2,1,2.25,5,1,1,2.620176471,5,1.891617647,2,1.517310789,3
ARG,Argentina,2017,76,1.934311267,3,3.651,5,5,5,3.393,4,2.377,4,3,2,2,2,1.75,3,3,3,2.25,3,2,2,1.02,2,1.464,3,1,1,1,1,1.444,2,1.258,2,1.524,3,1.247,4,1,1,1,1,2,1,1,1,1,1,1.543117647,1,2.583352941,4,1.40257649,2
ARM,Armenia,2017,107,2.068742166,3,1.627,1,2.5,2,2.118,2,2.021,3,3,2,2,2,1.5,2,2,1,3,4,2.5,3,1.603,4,1.499,3,1.158,4,1.391,4,2.954,5,3.377,5,1.334,2,1.076,3,1,1,1.123,4,5,5,1.8,5,1,1,1.986117647,4,2.026647059,2,2.174858293,5
AUS,Australia,2017,13,1.421417621,1,2.649,3,2.334,2,1.515,1,2.274,4,1,1,1,1,1.5,2,1,1,1,1,1.5,1,3.599,5,2.059,3,1,1,1,1,2.089,4,1.363,3,1.017,1,1.273,4,1.484,5,1,1,1,1,1.75,5,1,1,1.612176471,2,1.601441176,1,1.06884058,1
AUT,Austria,2017,4,1.309357465,1,1.868,1,2.619,3,1.26,1,1.767,2,2,1,1,1,1.25,2,1,1,1,1,1.5,1,1.048,2,2.264,4,1,1,1,1,1.349,1,1.376,3,1.426,3,1.068,3,1.298,5,1,1,1,1,1.6,4,1,1,1.382117647,1,1.472941176,1,1.055072464,1
AZE,Azerbaijan,2017,125,2.289076755,3,1.758,1,1.678,1,2.12,3,2.859,5,4,3,2,2,2,3,2,1,3.5,5,3,3,3.82,5,1.499,3,1.263,4,1.174,4,2.763,5,2.02,5,1.258,2,1.263,4,1,1,3.058,5,5,5,1.5,3,1,1,2.265352941,5,2.429264706,3,2.114463768,4
BDI,Burundi,2017,143,2.569033467,4,3.687,5,1.821,1,2.933,4,1.68,2,4,3,4,5,3,5,4,4,4,5,4,5,1.012,1,2.819,4,1.158,4,2.238,5,2.07,4,1.419,3,2.405,4,1.016,2,1,1,2.66,5,3,4,2.025,5,1,1,1.874117647,3,3.134529412,5,2.36600161,5
BEL,Belgium,2017,19,1.482727025,2,2.355,2,2.687,4,2.27,3,1.744,2,3,2,1,1,1,1,2,1,1.25,1,1,1,1.288,4,3.094,4,1,1,1,1,1.387,1,1.398,3,1.279,2,1.113,4,1.258,5,1,1,1,1,1.95,5,1,1,1.577470588,2,1.753705882,1,1.087198068,1
BEN,Benin,2017,89,1.995229728,3,3.494,5,3.5,5,3.075,4,1.53,2,4,3,2,2,2.75,5,3,3,2.5,3,2,2,1.03,2,1,1,1,1,1,1,1.397,1,1.098,1,4.759,5,1.007,1,1,1,1.001,2,2,1,1.6,4,1,1,2.034647059,4,2.415470588,3,1.457648953,3
BFA,Burkina Faso,2017,101,2.03718783,3,3.017,4,3.5,5,1.37,1,1.324,1,4,3,2,2,2.5,4,4,4,3.25,4,3,3,1.011,1,3.181,5,1,1,1,1,1.559,2,1.088,1,3.534,5,1.011,2,1,1,1.004,3,2,1,1.6,4,1,1,1.906882353,4,2.584735294,4,1.457648953,3
BGD,Bangladesh,2017,83,1.953339392,3,1.868,1,1.5,1,2.23,3,1.356,1,3,2,3,3,3.75,5,2,1,3,4,4,5,1.188,4,3.37,5,1.263,4,1.217,4,1.478,2,1.149,1,1.555,3,1.163,4,1,1,1.003,2,2,1,1.6,4,1,1,1.542882353,1,2.385117647,3,1.729721417,3
BGR,Bulgaria,2017,30,1.595061324,2,2.88,3,2.944,4,1.775,2,1.799,3,3,2,1,1,1,1,3,3,1.75,2,2,2,1.019,2,1.78,3,1,1,1,1,1.593,3,1.657,4,1.476,3,1.064,3,1.66,5,1.004,3,1,1,1.5,3,1,1,1.686,2,1.986617647,2,1.04589372,1
BHR,Bahrain,2017,126,2.297973457,3,2.544,3,5,5,1.3,1,3.223,5,3,2,4,5,2.5,4,2,1,3.5,5,3,3,2.431,5,2.867,4,1.053,4,1,1,3.122,5,1.884,5,2.551,4,1.13,4,1,1,1.011,3,3,4,1.875,5,1,1,2.080352941,4,2.611147059,4,2.092217391,4
BIH,Bosnia and Herzegovina,2017,64,1.896600807,2,2.216,2,3.277,4,1.72,2,1.617,2,3,2,3,3,1.5,2,2,1,3.25,4,1.5,1,1,1,2.134,4,1,1,1,1,1.464,2,1.437,3,1.533,3,1.032,2,1.023,4,2.103,5,3,4,1.6,4,1,1,1.531352941,1,2.129117647,2,1.860225443,4
BLR,Belarus,2017,93,2.007196657,3,2.415,2,2.669,4,2.4,3,3.927,5,3,2,3,3,1,1,2,1,3,4,2,2,1.614,4,1,1,1,1,1,1,1.507,2,1.752,4,1.402,2,1.245,4,3.128,5,1.013,3,3,4,1,1,1,1,2.039352941,4,2.167205882,2,1.805152979,4
BOL,Bolivia,2017,78,1.936735005,3,3.569,5,2.758,4,3.042,4,2.123,3,4,3,2,2,2,3,3,3,2.75,3,1.5,1,1.109,3,1,1,1,1,1,1,1.616,3,1.655,4,3.855,5,1.041,3,1,1,1.002,2,2,1,1.2,2,1,1,2.034882353,4,2.309588235,3,1.420933977,2
BRA,Brazil,2017,121,2.202654471,3,3.813,5,2.333,2,5,5,3.761,5,4,3,1,1,3.25,5,4,4,2.125,2,4,5,1.073,3,1.696,3,1.105,4,1,1,1.626,3,1.246,2,4.64,5,1.385,5,1.035,4,1,1,1,1,1.4,2,1,1,2.142941176,5,3.157735294,5,1.047536232,1
BTN,Bhutan,2017,20,1.502165239,2,2.547,3,1.5,1,2.345,3,2.131,3,2,1,2,2,1,1,1,1,1,1,2,2,1.038,2,1,1,1,1,1,1,1.956,4,1.211,2,1.444,3,1,1,1,1,1.517,5,2,1,1.5,3,1,1,1.370470588,1,1.617117647,1,1.448470209,2
BWA,Botswana,2017,42,1.737474242,2,3.794,5,3.103,4,4.525,5,2.661,4,3,2,1,1,2,3,3,3,1.5,1,1,1,1.116,3,1,1,1,1,1,1,2.778,5,1.582,4,1,1,1.042,3,1,1,1.004,3,1,1,1,1,1,1,1.651647059,2,2.376176471,3,1,1
