code,name,year,rank,index_over,band_over,index_inci,band_inci,index_fata,band_fata,index_inju,band_inju,index_prop,band_prop
AFG,Afghanistan,2020,1,8.734,6,643,6,1292,6,2395,6,101,6
AGO,Angola,2020,91,0.123,2,0,1,0,1,0,1,0,1
ALB,Albania,2020,104,0,1,0,1,0,1,0,1,0,1
ARE,United Arab Emirates,2020,104,0,1,0,1,0,1,0,1,0,1
ARG,Argentina,2020,67,1.259,2,0,1,0,1,0,1,0,1
ARM,Armenia,2020,99,0.03,2,0,1,0,1,0,1,0,1
AUS,Australia,2020,59,1.834,2,1,2,2,2,0,1,0,1
AUT,Austria,2020,50,2.666,3,1,2,4,2,22,4,0,1
AZE,Azerbaijan,2020,99,0.03,2,0,1,0,1,0,1,0,1
BDI,Burundi,2020,58,1.898,2,0,1,0,1,0,1,0,1
BEL,Belgium,2020,51,2.365,3,0,1,0,1,0,1,0,1
BEN,Benin,2020,74,0.841,2,0,1,0,1,0,1,0,1
BFA,Burkina Faso,2020,6,7.646,5,193,6,666,6,187,6,35,5
BGD,Bangladesh,2020,41,3.324,3,5,2,1,2,19,3,1,2
BGR,Bulgaria,2020,104,0,1,0,1,0,1,0,1,0,1
BHR,Bahrain,2020,64,1.385,2,0,1,0,1,0,1,0,1
BIH,Bosnia and Herzegovina,2020,104,0,1,0,1,0,1,0,1,0,1
BLR,Belarus,2020,104,0,1,0,1,0,1,0,1,0,1
BOL,Bolivia,2020,104,0,1,0,1,0,1,0,1,0,1
BRA,Brazil,2020,52,2.271,3,0,1,0,1,0,1,0,1
BTN,Bhutan,2020,104,0,1,0,1,0,1,0,1,0,1
BWA,Botswana,2020,104,0,1,0,1,0,1,0,1,0,1
CAF,Central African Republic,2020,68,1.245,2,0,1,0,1,0,1,0,1
CAN,Canada,2020,46,2.885,3,4,2,3,2,1,2,0,1
CHE,Switzerland,2020,57,1.913,2,6,3,1,2,2,2,0,1
CHL,Chile,2020,23,5.16,4,198,6,6,3,26,4,0,1
CHN,China,2020,66,1.337,2,0,1,0,1,0,1,0,1
CIV,Cote d' Ivoire,2020,44,3.188,3,2,2,11,3,8,3,0,1
CMR,Cameroon,2020,11,7.073,5,119,6,222,6,104,6,130,6
COD,Democratic Republic of the Congo,2020,21,5.26,4,18,3,96,5,10,3,5,3
COG,Republic of the Congo,2020,104,0,1,0,1,0,1,0,1,0,1
COL,Colombia,2020,13,6.697,5,184,6,156,6,89,5,27,5
CRI,Costa Rica,2020,104,0,1,0,1,0,1,0,1,0,1
CUB,Cuba,2020,104,0,1,0,1,0,1,0,1,0,1
CYP,Cyprus,2020,83,0.5,2,1,2,0,1,0,1,0,1
CZE,Czechia,2020,90,0.141,2,0,1,0,1,0,1,0,1
DEU,Germany,2020,31,4.177,4,29,4,11,3,21,4,0,1
DJI,Djibouti,2020,104,0,1,0,1,0,1,0,1,0,1
DNK,Denmark,2020,91,0.123,2,0,1,0,1,0,1,0,1
