code,name,year,rank,index_over,band_over,index_inci,band_inci,index_fata,band_fata,index_inju,band_inju,index_prop,band_prop
AFG,Afghanistan,2015,3,8.505,6,312,6,1008,6,1835,6,361,6
AGO,Angola,2015,91,0.423,2,0,1,0,1,0,1,0,1
ALB,Albania,2015,107,0,1,0,1,0,1,0,1,0,1
ARE,United Arab Emirates,2015,75,1.136,2,1,2,0,1,1,2,0,1
ARG,Argentina,2015,95,0.368,2,0,1,0,1,0,1,0,1
ARM,Armenia,2015,107,0,1,0,1,0,1,0,1,0,1
AUS,Australia,2015,65,1.605,2,1,2,1,2,0,1,0,1
AUT,Austria,2015,107,0,1,0,1,0,1,0,1,0,1
AZE,Azerbaijan,2015,102,0.167,2,0,1,0,1,0,1,0,1
BDI,Burundi,2015,36,4.186,4,12,3,20,3,80,5,0,1
BEL,Belgium,2015,67,1.584,2,2,2,0,1,0,1,0,1
BEN,Benin,2015,107,0,1,0,1,0,1,0,1,0,1
BFA,Burkina Faso,2015,52,2.309,3,3,2,4,2,3,2,1,2
BGD,Bangladesh,2015,31,4.415,4,23,4,14,3,135,6,0,1
BGR,Bulgaria,2015,72,1.279,2,0,1,0,1,0,1,0,1
BHR,Bahrain,2015,39,3.449,3,3,2,2,2,9,3,0,1
BIH,Bosnia and Herzegovina,2015,53,2.246,3,3,2,3,2,7,3,0,1
BLR,Belarus,2015,68,1.531,2,0,1,0,1,0,1,0,1
BOL,Bolivia,2015,107,0,1,0,1,0,1,0,1,0,1
BRA,Brazil,2015,83,0.72,2,2,2,0,1,0,1,0,1
BTN,Bhutan,2015,107,0,1,0,1,0,1,0,1,0,1
BWA,Botswana,2015,107,0,1,0,1,0,1,0,1,0,1
CAF,Central African Republic,2015,35,4.217,4,6,3,30,4,21,4,8,3
CAN,Canada,2015,70,1.329,2,1,2,0,1,0,1,0,1
CHE,Switzerland,2015,105,0.087,2,0,1,0,1,0,1,0,1
CHL,Chile,2015,47,2.719,3,12,3,0,1,0,1,0,1
CHN,China,2015,21,5.894,4,6,3,126,6,109,6,0,1
CIV,Cote d' Ivoire,2015,66,1.585,2,0,1,0,1,0,1,0,1
CMR,Cameroon,2015,11,6.8,5,44,4,292,6,876,6,122,6
COD,Democratic Republic of the Congo,2015,33,4.354,4,7,3,24,4,8,3,19,4
COG,Republic of the Congo,2015,107,0,1,0,1,0,1,0,1,0,1
COL,Colombia,2015,15,6.448,5,190,6,103,6,158,6,7,3
CRI,Costa Rica,2015,107,0,1,0,1,0,1,0,1,0,1
CUB,Cuba,2015,107,0,1,0,1,0,1,0,1,0,1
CYP,Cyprus,2015,106,0.03,2,0,1,0,1,0,1,0,1
CZE,Czechia,2015,83,0.72,2,2,2,0,1,0,1,0,1
DEU,Germany,2015,51,2.472,3,3,2,5,2,1,2,0,1
