code,name,year,rank,index_over,band_over,index_inci,band_inci,index_fata,band_fata,index_inju,band_inju,index_prop,band_prop
AFG,Afghanistan,2021,1,8.818,6,889,6,1499,6,2341,6,91,6
AGO,Angola,2021,89,0.059,2,0,1,0,1,0,1,0,1
ALB,Albania,2021,96,0,1,0,1,0,1,0,1,0,1
ARE,United Arab Emirates,2021,96,0,1,0,1,0,1,0,1,0,1
ARG,Argentina,2021,58,1.579,2,5,2,0,1,0,1,0,1
ARM,Armenia,2021,96,0,1,0,1,0,1,0,1,0,1
AUS,Australia,2021,62,1.266,2,0,1,0,1,0,1,0,1
AUT,Austria,2021,53,2.081,3,1,2,0,1,0,1,0,1
AZE,Azerbaijan,2021,96,0,1,0,1,0,1,0,1,0,1
BDI,Burundi,2021,30,3.828,3,7,3,7,3,100,5,0,1
BEL,Belgium,2021,71,0.687,2,0,1,0,1,0,1,0,1
BEN,Benin,2021,51,2.446,3,4,2,3,2,11,3,0,1
BFA,Burkina Faso,2021,4,7.833,5,224,6,759,6,239,6,39,5
BGD,Bangladesh,2021,41,3.332,3,2,2,6,3,20,3,0,1
BGR,Bulgaria,2021,96,0,1,0,1,0,1,0,1,0,1
BHR,Bahrain,2021,66,0.994,2,1,2,0,1,0,1,0,1
BIH,Bosnia and Herzegovina,2021,96,0,1,0,1,0,1,0,1,0,1
BLR,Belarus,2021,96,0,1,0,1,0,1,0,1,0,1
BOL,Bolivia,2021,96,0,1,0,1,0,1,0,1,0,1
BRA,Brazil,2021,55,1.669,2,0,1,0,1,0,1,0,1
BTN,Bhutan,2021,96,0,1,0,1,0,1,0,1,0,1
BWA,Botswana,2021,96,0,1,0,1,0,1,0,1,0,1
CAF,Central African Republic,2021,68,0.841,2,1,2,0,1,3,2,0,1
CAN,Canada,2021,48,2.794,3,1,2,4,2,1,2,0,1
CHE,Switzerland,2021,57,1.594,2,2,2,0,1,0,1,0,1
CHL,Chile,2021,18,5.796,4,387,6,1,2,98,5,1,2
CHN,China,2021,70,0.768,2,0,1,0,1,0,1,0,1
CIV,Cote d' Ivoire,2021,43,3.226,3,8,3,5,2,5,2,0,1
CMR,Cameroon,2021,12,6.875,5,102,6,176,6,135,6,28,5
COD,Democratic Republic of the Congo,2021,16,6.219,5,34,4,213,6,41,4,80,6
COG,Republic of the Congo,2021,96,0,1,0,1,0,1,0,1,0,1
COL,Colombia,2021,14,6.434,5,75,5,78,5,195,6,7,3
CRI,Costa Rica,2021,96,0,1,0,1,0,1,0,1,0,1
CUB,Cuba,2021,96,0,1,0,1,0,1,0,1,0,1
CYP,Cyprus,2021,67,0.861,2,2,2,0,1,0,1,0,1
CZE,Czechia,2021,89,0.059,2,0,1,0,1,0,1,0,1
DEU,Germany,2021,32,3.736,3,20,3,0,1,1,2,0,1
