code,name,year,rank,index_over,band_over,index_dist,band_dist,index_poli,band_poli,index_homi,band_homi,index_jail,band_jail,index_wmid,band_wmid,index_inco,band_inco,index_demo,band_demo,index_crim,band_crim,index_inst,band_inst,index_rehr,band_rehr,index_weim,band_weim,index_gtdx,band_gtdx,index_icon,band_icon,index_ndic,band_ndic,index_mexp,band_mexp,index_army,band_army,index_unfu,band_unfu,index_hewe,band_hewe,index_weex,band_weex,index_refu,band_refu,index_rela,band_rela,index_econ,band_econ,index_ndec,band_ndec,index_militarisation,band_militarisation,index_safety_security,band_safety_security,index_domestic_international_conflict,band_domestic_international_conflict
DJI,Djibouti,2008,95,2.013196112,3,1.56,1,4.5,5,3.255,4,1.419,1,3.5,3,3,4,1,1,1,1,3,4,3,3,1.182,3,1.05,2,1,1,1,1,2.946,5,2.71,5,4.188081049,5,1.007148944,1,1,1,1.025,4,2.5,4,1,1,1,1,2.269035819,5,2.136970588,2,1.704508857,4
DNK,Denmark,2008,2,1.268659861,1,1.819,1,1.979,2,1.445,1,1.57,2,2,1,1,1,1,1,1,1,1,1,1,1,2.564,5,1,1,1,1,1,1,1.602,2,1.715,4,1.223952618,1,1.148918007,3,1.065,4,1,1,1,1,1.825,5,1,1,1.579509368,1,1.261294118,1,1.075724638,1
DOM,Dominican Republic,2008,88,1.987034964,3,3.536,5,2.537,3,5,5,2.147,4,3,2,1,1,1.5,4,3,3,2.5,3,3,3,1.068,3,1,1,1,1,1,1,1.277,1,1.626,4,4.999199648,5,1.00615909,1,1,1,1.001,1,2,2,1.125,4,1,1,1.938757445,3,2.622470588,4,1.212761675,2
DZA,Algeria,2008,130,2.25312526,3,3.545,5,2.624,4,1.465,1,2.258,4,3,2,3,4,1.5,4,3,3,2.75,3,4,5,1.605,4,3.5728,5,1.474,5,2.276,5,2.281,5,1.654,4,3.118849581,4,1.711869867,5,1,1,1.01,3,3,4,1,1,1,1,2.026665221,4,2.524311765,4,2.110847021,5
ECU,Ecuador,2008,120,2.144966755,3,3.746,5,2.192,2,4.45,5,1.712,2,3,2,3,4,1,1,3,3,3.875,5,3,3,1.111,3,1.0692,3,1.053,3,1,1,1.956,4,1.594,4,2.69547168,3,1.15133765,3,1,1,1.003,3,3,4,1,1,1,1,1.774526842,2,2.629423529,4,1.810615137,4
EGY,Egypt,2008,74,1.922773211,3,1.755,1,4.5,5,1.345,1,1.688,2,3,2,2,2,1.75,4,1,1,2.75,3,4,5,1.612,4,2.7,5,1.158,4,1,1,1.913,4,1.962,4,1.995429472,3,3.260111213,5,1,1,1.003,3,2,2,1,1,1,1,2.161481917,4,2.202088235,3,1.418859903,3
ERI,Eritrea,2008,147,2.444958168,4,2.997,3,3.5,5,3.439,4,5,5,1,1,2,2,1,1,2,1,3.25,4,4,5,1.979,5,1.1844,3,1.053,3,1,1,2.247,5,5,5,4.2,5,1.118232539,3,1,1,3.351,5,4,5,1.05,4,1,1,2.129805742,4,3.059405882,5,1.815204509,4
ESP,Spain,2008,28,1.62933803,2,2.101,2,2.627,4,1.59,1,2.123,4,2,1,2,2,1,1,2,1,1.25,1,2,2,1.496,4,2.8944,5,1.053,3,1,1,1.564,2,1.507,3,2.71459477,3,1.73392161,5,2.113,5,1,1,1,1,1.625,5,1,1,1.888467904,3,1.785347059,1,1.264117552,2
EST,Estonia,2008,41,1.693005114,2,2.609,3,2.258,2,4.027,5,3.587,5,2,1,1,1,1,1,2,1,1.25,1,1,1,1.622,5,1,1,1,1,1,1,1.903,4,1.514,3,1.58713017,2,1.0237015,2,1,1,1.006,3,3,4,1.55,5,1,1,1.489609696,1,1.985117647,2,1.453059581,3
ETH,Ethiopia,2008,133,2.295197684,3,2.41,2,1.5,1,3.697,4,1.759,3,4,3,3.5,5,1,1,2,1,3.25,4,3.5,4,1.074,3,3.042,5,2.947,5,2.384,5,1.669,3,1.309,2,5,5,1.185872549,3,1,1,1.024,4,3,4,1.05,4,1,1,2.156565744,4,2.352205882,3,2.389626409,5
FIN,Finland,2008,8,1.344460125,1,1.841,1,1.783,1,2.065,2,1.57,2,2,1,1,1,1,1,1,1,1,1,1,1,2.778,5,1,1,1,1,1,1,1.597,2,1.834,4,1.221331509,1,1.294646485,4,2.454,5,1,1,1,1,1.125,4,1,1,1.888623675,3,1.318882353,1,1.01147343,1
FRA,France,2008,47,1.725879508,2,2.082,2,2.593,4,1.8,2,1.72,2,2,1,1,1,1,1,1,1,1,1,2,2,1.067,3,2.5604,5,1,1,1,1,1.975,4,1.638,4,1.635864628,2,5,5,4.971,5,1,1,1,1,1.8,5,1,1,2.855572309,5,1.603111765,1,1.073429952,1
GAB,Gabon,2008,87,1.985267004,3,3.866,5,3.25,4,3.852,4,2.543,4,3,2,2,2,1.5,4,2.5,3,2.625,3,3,3,1.416,4,1,1,1,1,1,1,1.497,2,1.548,3,3.164557123,4,1.020841922,2,1,1,1.002,2,2,2,1,1,1,1,1.783155295,2,2.570382353,4,1.40257649,2
GBR,United Kingdom,2008,50,1.744589453,2,2.511,3,2.875,4,1.935,2,1.965,3,2,1,1,1,1,1,1,1,1,1,2,2,1.517,4,2.8504,5,1.053,3,1,1,2.242,4,1.501,3,1.494385807,2,5,5,3.185,5,1,1,1,1,2.775,5,1,1,2.591986565,5,1.720405882,1,1.168384863,1
GEO,Georgia,2008,151,2.707805653,4,2.286,2,1.871,2,3.893,4,3.785,5,4,3,5,5,1.75,4,3,3,3.375,4,3,3,2.354,5,1.8296,4,1.263,5,1,1,4.77,5,1.726,4,2.068917577,3,1.051142447,2,1.11,4,3.404,5,5,5,1.375,5,1,1,2.37183897,5,2.924211765,5,2.671830918,5
GHA,Ghana,2008,36,1.662306362,2,2.145,2,2.5,3,1.9,2,1.467,1,4,3,2,2,1,1,2,1,2.5,3,2.5,2,1.035,2,1,1,1.053,3,1,1,1.143,1,1.069,1,2.388845606,3,1.015727677,2,1.023,4,1.007,3,2,2,1,1,1,1,1.728698485,2,1.851882353,2,1.408038647,3
