code,name,year,rank,index_over,band_over,index_dist,band_dist,index_poli,band_poli,index_homi,band_homi,index_jail,band_jail,index_wmid,band_wmid,index_inco,band_inco,index_demo,band_demo,index_crim,band_crim,index_inst,band_inst,index_rehr,band_rehr,index_weim,band_weim,index_gtdx,band_gtdx,index_icon,band_icon,index_ndic,band_ndic,index_mexp,band_mexp,index_army,band_army,index_unfu,band_unfu,index_hewe,band_hewe,index_weex,band_weex,index_refu,band_refu,index_rela,band_rela,index_econ,band_econ,index_ndec,band_ndec,index_militarisation,band_militarisation,index_safety_security,band_safety_security,index_domestic_international_conflict,band_domestic_international_conflict
AFG,Afghanistan,2012,162,3.184087832,5,3.786,5,3.5,5,2.482,3,1.514,2,5,5,5,5,1.5,3,5,5,4,5,4.5,5,1.754,4,4.661,5,2.684,5,4.418,5,5,5,1.884,5,3.658613333,4,1.064890417,3,1,1,4.506,5,3,4,1,1,1,1,2.69340576,5,3.593352941,5,3.069285024,5
AGO,Angola,2012,85,1.997059378,3,3.521,5,2.5,3,2.59,3,1.712,2,3,2,2,2,1,1,3,3,2.625,3,3,3,1.049,2,1.951,3,1.105,4,1,1,2.548,5,1.829,4,2.88586046,4,1.342049484,4,1,1,1.175,5,3,4,1,1,1,1,1.920580551,3,2.342970588,3,1.61468599,3
ALB,Albania,2012,54,1.822819236,2,2.605,3,2.552,3,2.215,3,2.321,4,4,4,1,1,1,1,3,3,3.375,4,2,2,1.024,2,1.382,2,1,1,1,1,1.731,3,1.668,4,2.614002696,3,1.002144683,1,1,1,1.154,5,2,2,2,5,1,1,1.887084673,3,2.211,2,1.293075684,2
ARE,United Arab Emirates,2012,38,1.699539137,2,1.355,1,4.5,5,1.39,1,2.812,4,2,1,1,1,1.25,3,1,1,2.375,2,1.5,1,5,5,1,1,1.053,4,1.043,4,2.4,5,2.094,5,2.163857765,3,1.559102428,5,1.283,5,1.002,2,2,2,1.25,4,1,1,2.226001342,5,1.788794118,1,1.238352657,2
ARG,Argentina,2012,61,1.867144381,2,3.709,5,4.436,5,3.133,4,2.242,4,2,1,2,2,1,1,3,3,2.75,3,2,2,1.029,2,2.233,4,1,1,1,1,1.368,1,1.271,2,1,1,1.439000166,4,1.001,4,1,1,2,2,1,1,1,1,1.332705912,1,2.534088235,4,1.40257649,2
ARM,Armenia,2012,109,2.129262215,3,1.888,1,2.5,3,2.34,3,2.282,4,4,4,2,2,1,1,3,3,3.25,4,2.5,3,1.485,4,1.117,2,1,1,1,1,2.864,5,3.411,5,1,1,1.090956567,3,1,1,1.186,5,5,5,1.7,5,1,1,2.105462924,4,2.186705882,2,2.070692432,4
AUS,Australia,2012,15,1.461391512,2,2.671,3,2.246,2,1.605,1,2.068,3,1,1,1,1,1,1,2,1,1,1,1.5,1,4.176,5,1,1,1,1,1,1,1.946,4,1.385,3,1.257812558,1,1.42008296,4,1.593,5,1,1,1,1,2.125,5,1,1,1.739345529,2,1.599264706,1,1.10326087,1
AUT,Austria,2012,6,1.37116485,1,1.886,1,2.59,4,1.305,1,1.807,3,2,1,1,1,1,1,1.5,1,1,1,1.5,1,2.259,5,1.821,3,1,1,1,1,1.377,1,1.469,3,1.265924218,2,1.160961228,3,1.856,5,1,1,1,1,1.5,4,1,1,1.634866595,1,1.4915,1,1.04589372,1
AZE,Azerbaijan,2012,127,2.289998033,3,2.089,2,1.678,1,2.045,2,2.907,5,4,4,2,2,1.25,3,2,1,3.75,5,3,3,2.68,5,2.199,4,1.105,4,1.435,5,2.214,5,2.118,5,1.202736335,1,1.214908261,4,1,1,3.166,5,5,5,2,5,1,1,2.063188085,4,2.471,3,2.196610306,5
BDI,Burundi,2012,123,2.263755965,3,2.754,3,2.289,2,2.852,3,1.791,3,4,4,4,5,1,1,3,3,3.5,5,3.5,4,1.005,1,3.129,5,1.316,5,1,1,2.352,5,1.355,2,3.804201788,5,1.014132913,1,1,1,1.627,5,3,4,1,1,1,1,2.063223666,4,2.578705882,4,2.039008052,4
BEL,Belgium,2012,16,1.505697374,2,2.331,2,2.838,4,2.27,3,1.767,2,2,1,1,1,1,1,2,1,1.25,1,1.5,1,1.647,4,1.499,3,1,1,1,1,1.502,2,1.486,3,1.605661349,2,1.143693778,3,2.561,5,1,1,1,1,1.625,4,1,1,1.74090612,2,1.731941176,1,1.05736715,1
BEN,Benin,2012,99,2.067284318,3,2.646,3,3.5,5,3.082,4,1.578,2,4,4,4,5,1,1,3,3,2.375,2,2,2,1.006,1,1,1,1,1,1,1,1.33,1,1.084,1,2.250731846,3,1.008523741,1,1,1,1.002,2,4,5,1,1,1,1,1.727472642,2,2.176705882,2,2.207729469,5
BFA,Burkina Faso,2012,39,1.704256061,2,2.763,3,3.5,5,1.445,1,1.261,1,4,4,2,2,2,4,2,1,3,3,2,2,1.019,2,1,1,1,1,1,1,1.602,3,1.099,1,1.087680519,1,1.01374797,1,1,1,1.003,3,2,2,1,1,1,1,1.626859115,1,2.010705882,2,1.40257649,2
