code,name,year,rank,index_over,band_over,index_dist,band_dist,index_poli,band_poli,index_homi,band_homi,index_jail,band_jail,index_wmid,band_wmid,index_inco,band_inco,index_demo,band_demo,index_crim,band_crim,index_inst,band_inst,index_rehr,band_rehr,index_weim,band_weim,index_gtdx,band_gtdx,index_icon,band_icon,index_ndic,band_ndic,index_mexp,band_mexp,index_army,band_army,index_unfu,band_unfu,index_hewe,band_hewe,index_weex,band_weex,index_refu,band_refu,index_rela,band_rela,index_econ,band_econ,index_ndec,band_ndec,index_militarisation,band_militarisation,index_safety_security,band_safety_security,index_domestic_international_conflict,band_domestic_international_conflict
AFG,Afghanistan,2018,163,3.512090197,5,3.863,5,3.5,5,3.945,5,1.696,2,5,5,5,5,2.75,4,5,5,5,5,5,5,1.458,4,4.583,5,3.895,5,5,5,5,5,1.743,4,2.16817607,4,1.123,4,1,1,5,5,4,5,1,1,1,1,2.476903067,5,4.128617647,5,3.51252818,5
AGO,Angola,2018,84,1.9876199,3,3.458,5,2.5,2,2.712,4,1.759,2,3,2,2,2,2.5,4,3,3,2.5,3,2.5,3,1.168,3,1.56,3,1.053,4,2.002,4,2.266,4,1.539,4,2.920795266,4,1.352,5,1,1,1.009,3,2,1,1,1,1,1,1.873152384,3,2.372205882,3,1.609729469,3
ALB,Albania,2018,36,1.723480816,2,2.707,3,2.685,4,2.053,3,2.495,4,4,3,1,1,1.25,2,3,3,2.375,3,2,2,1.11,3,1,1,1,1,1,1,1.569,2,1.422,3,1.709783819,3,1.001,1,1,1,1.139,4,2,1,1.375,2,1,1,1.742621626,3,2.108205882,2,1.235708535,1
ARE,United Arab Emirates,2018,62,1.891987952,2,1.355,1,4.5,5,1.325,1,1.846,3,2,1,2,2,1,1,1,1,2.25,2,2.5,3,5,5,1.499,3,1,1,1,1,3.279,5,2.056,5,2.117034205,3,1.529,5,2.624,5,1,1,2,1,2.75,5,1,1,2.55076873,5,1.805911765,1,1.563204509,3
ARG,Argentina,2018,66,1.910684034,3,3.766,5,5,5,3.148,4,2.377,4,3,2,2,2,1.75,3,3,3,2,2,2,2,1.033,2,2.302,4,1,1,1,1,1.459,2,1.256,2,3.151897793,5,1.243,4,1,1,1,1,1,1,1,1,1,1,1.736987976,2,2.584558824,4,1.201288245,1
ARM,Armenia,2018,106,2.086181021,3,1.676,1,2.5,2,2.14,3,2.021,3,3,2,2,2,1.75,3,2,1,3,4,3,3,1.692,5,1.332,3,1.211,4,1.174,4,2.801,5,3.388,5,1.334195822,2,1.077,3,1,1,1.125,4,5,5,1.725,4,1,1,1.980081861,4,2.104852941,2,2.129756844,4
AUS,Australia,2018,13,1.418098952,1,2.451,3,2.32,2,1.495,1,2.274,4,1,1,1,1,1.25,2,1,1,1,1,1.5,1,4.048,5,2.221,4,1,1,1,1,2.013,4,1.353,3,1,1,1.281,4,1.539,5,1,1,1,1,1.75,4,1,1,1.664,2,1.567852941,1,1.06884058,1
AUT,Austria,2018,3,1.271984437,1,1.928,1,2.611,3,1.265,1,1.767,2,2,1,1,1,1,1,1,1,1,1,1,1,1.051,2,2.109,3,1,1,1,1,1.363,1,1.373,3,1.456844968,2,1.078,3,1.292,5,1,1,1,1,1.525,4,1,1,1.388099408,1,1.388117647,1,1.048188406,1
AZE,Azerbaijan,2018,124,2.264054111,3,1.74,1,1.678,1,2.085,3,2.859,5,4,3,2,2,1.5,2,2,1,3.5,5,3,3,3.663,5,1.332,3,1.263,4,1.261,4,2.782,5,2.011,5,1.284400951,2,1.265,4,1,1,3.04,5,5,5,1.375,2,1.042,5,2.251517759,5,2.3675,3,2.128956522,4
BDI,Burundi,2018,140,2.480791563,4,3.687,5,1.821,1,2.635,3,1.68,2,3,2,4,5,3.25,5,4,4,4,5,4,5,1.005,1,3.073,4,1.211,4,2.051,5,1.956,4,1.41,3,1.266314724,2,1.016,2,1,1,2.467,5,3,4,2.2,5,1,1,1.548389968,1,3.113764706,5,2.349885668,5
