code,name,year,rank,index_over,band_over,index_inci,band_inci,index_fata,band_fata,index_inju,band_inju,index_prop,band_prop
AFG,Afghanistan,2016,3,8.33,6,179,6,643,6,2055,6,153,6
AGO,Angola,2016,95,0.233,2,0,1,0,1,0,1,0,1
ALB,Albania,2016,106,0,1,0,1,0,1,0,1,0,1
ARE,United Arab Emirates,2016,79,0.72,2,0,1,0,1,0,1,0,1
ARG,Argentina,2016,87,0.536,2,1,2,0,1,0,1,0,1
ARM,Armenia,2016,88,0.423,2,1,2,0,1,0,1,0,1
AUS,Australia,2016,70,1.461,2,2,2,0,1,1,2,0,1
AUT,Austria,2016,62,1.962,2,2,2,2,2,7,3,0,1
AZE,Azerbaijan,2016,88,0.423,2,1,2,0,1,0,1,0,1
BDI,Burundi,2016,44,3.473,3,2,2,0,1,0,1,0,1
BEL,Belgium,2016,27,4.913,4,5,2,32,4,286,6,0,1
BEN,Benin,2016,106,0,1,0,1,0,1,0,1,0,1
BFA,Burkina Faso,2016,30,4.736,4,7,3,53,5,62,5,4,3
BGD,Bangladesh,2016,29,4.862,4,24,4,42,4,21,4,0,1
BGR,Bulgaria,2016,77,0.823,2,0,1,0,1,0,1,0,1
BHR,Bahrain,2016,49,3.306,3,9,3,3,2,6,3,0,1
BIH,Bosnia and Herzegovina,2016,65,1.643,2,0,1,0,1,0,1,0,1
BLR,Belarus,2016,106,0,1,0,1,0,1,0,1,0,1
BOL,Bolivia,2016,106,0,1,0,1,0,1,0,1,0,1
BRA,Brazil,2016,79,0.72,2,1,2,0,1,0,1,0,1
BTN,Bhutan,2016,106,0,1,0,1,0,1,0,1,0,1
BWA,Botswana,2016,106,0,1,0,1,0,1,0,1,0,1
CAF,Central African Republic,2016,33,4.362,4,1,2,14,3,76,5,0,1
CAN,Canada,2016,67,1.564,2,3,2,0,1,3,2,0,1
CHE,Switzerland,2016,106,0,1,0,1,0,1,0,1,0,1
CHL,Chile,2016,51,3.036,3,23,4,0,1,2,2,0,1
CHN,China,2016,22,5.238,4,2,2,3,2,10,3,0,1
CIV,Cote d' Ivoire,2016,41,3.763,3,1,2,19,3,33,4,0,1
CMR,Cameroon,2016,11,6.648,5,35,4,148,6,201,6,5,3
COD,Democratic Republic of the Congo,2016,35,4.03,4,3,2,4,2,32,4,3,3
COG,Republic of the Congo,2016,106,0,1,0,1,0,1,0,1,0,1
COL,Colombia,2016,17,6.118,5,104,6,44,4,81,5,13,4
CRI,Costa Rica,2016,106,0,1,0,1,0,1,0,1,0,1
CUB,Cuba,2016,106,0,1,0,1,0,1,0,1,0,1
CYP,Cyprus,2016,88,0.423,2,1,2,0,1,0,1,0,1
CZE,Czechia,2016,79,0.72,2,1,2,0,1,0,1,0,1
DEU,Germany,2016,34,4.252,4,29,4,15,3,88,5,0,1
DJI,Djibouti,2016,84,0.618,2,0,1,0,1,0,1,0,1
DNK,Denmark,2016,72,1.329,2,0,1,0,1,0,1,0,1
DOM,Dominican Republic,2016,106,0,1,0,1,0,1,0,1,0,1
DZA,Algeria,2016,32,4.396,4,6,3,11,3,0,1,0,1
ECU,Ecuador,2016,94,0.28,2,0,1,0,1,0,1,0,1
EGY,Egypt,2016,8,7.379,5,221,6,349,6,518,6,0,1
ERI,Eritrea,2016,106,0,1,0,1,0,1,0,1,0,1
ESP,Spain,2016,85,0.582,2,1,2,0,1,0,1,0,1
EST,Estonia,2016,106,0,1,0,1,0,1,0,1,0,1
ETH,Ethiopia,2016,54,2.534,3,0,1,0,1,0,1,0,1
FIN,Finland,2016,106,0,1,0,1,0,1,0,1,0,1
FRA,France,2016,16,6.142,5,9,3,90,5,439,6,0,1
GAB,Gabon,2016,106,0,1,0,1,0,1,0,1,0,1
GBR,United Kingdom,2016,37,3.976,3,44,4,6,3,14,3,0,1
GEO,Georgia,2016,71,1.405,2,1,2,0,1,5,2,0,1
GHA,Ghana,2016,106,0,1,0,1,0,1,0,1,0,1
