code,name,year,rank,index_over,band_over,index_inci,band_inci,index_fata,band_fata,index_inju,band_inju,index_prop,band_prop
AFG,Afghanistan,2023,6,7.825,5,67,5,119,6,229,6,0,1
AGO,Angola,2023,43,2.254,3,1,2,5,2,0,1,0,1
ALB,Albania,2023,89,0,1,0,1,0,1,0,1,0,1
ARE,United Arab Emirates,2023,79,0.233,2,0,1,0,1,0,1,0,1
ARG,Argentina,2023,61,1.274,2,0,1,0,1,0,1,0,1
ARM,Armenia,2023,76,0.423,2,1,2,0,1,0,1,0,1
AUS,Australia,2023,57,1.475,2,0,1,0,1,0,1,0,1
AUT,Austria,2023,68,0.953,2,0,1,0,1,0,1,0,1
AZE,Azerbaijan,2023,89,0,1,0,1,0,1,0,1,0,1
BDI,Burundi,2023,40,2.434,3,0,1,0,1,0,1,0,1
BEL,Belgium,2023,51,1.904,2,1,2,2,2,1,2,0,1
BEN,Benin,2023,24,4.898,4,23,4,49,4,9,3,17,4
BFA,Burkina Faso,2023,1,8.571,6,258,6,1907,6,442,6,144,6
BGD,Bangladesh,2023,32,3.317,3,8,3,6,3,7,3,16,4
BGR,Bulgaria,2023,89,0,1,0,1,0,1,0,1,0,1
BHR,Bahrain,2023,84,0.123,2,0,1,0,1,0,1,0,1
BIH,Bosnia and Herzegovina,2023,89,0,1,0,1,0,1,0,1,0,1
BLR,Belarus,2023,89,0,1,0,1,0,1,0,1,0,1
BOL,Bolivia,2023,89,0,1,0,1,0,1,0,1,0,1
BRA,Brazil,2023,49,1.988,2,0,1,0,1,0,1,0,1
BTN,Bhutan,2023,89,0,1,0,1,0,1,0,1,0,1
BWA,Botswana,2023,89,0,1,0,1,0,1,0,1,0,1
CAF,Central African Republic,2023,59,1.445,2,0,1,0,1,0,1,0,1
CAN,Canada,2023,52,1.753,2,1,2,1,2,0,1,0,1
CHE,Switzerland,2023,71,0.627,2,0,1,0,1,0,1,0,1
CHL,Chile,2023,17,5.679,4,175,6,0,1,36,4,0,1
CHN,China,2023,73,0.582,2,1,2,0,1,1,2,0,1
CIV,Cote d' Ivoire,2023,46,2.06,3,0,1,0,1,0,1,0,1
CMR,Cameroon,2023,12,6.98,5,168,6,289,6,216,6,139,6
COD,Democratic Republic of the Congo,2023,13,6.514,5,16,3,245,6,51,5,4,3
COG,Republic of the Congo,2023,89,0,1,0,1,0,1,0,1,0,1
COL,Colombia,2023,16,6.188,5,171,6,84,5,135,6,81,6
CRI,Costa Rica,2023,89,0,1,0,1,0,1,0,1,0,1
CUB,Cuba,2023,89,0,1,0,1,0,1,0,1,0,1
CYP,Cyprus,2023,72,0.616,2,1,2,0,1,0,1,0,1
CZE,Czechia,2023,89,0,1,0,1,0,1,0,1,0,1
DEU,Germany,2023,37,2.782,3,8,3,0,1,0,1,0,1
DJI,Djibouti,2023,48,2.035,3,0,1,0,1,0,1,0,1
DNK,Denmark,2023,89,0,1,0,1,0,1,0,1,0,1
DOM,Dominican Republic,2023,89,0,1,0,1,0,1,0,1,0,1
DZA,Algeria,2023,44,2.197,3,0,1,0,1,0,1,0,1
ECU,Ecuador,2023,83,0.167,2,0,1,0,1,0,1,0,1
EGY,Egypt,2023,20,5.221,4,4,2,8,3,12,3,0,1
ERI,Eritrea,2023,89,0,1,0,1,0,1,0,1,0,1
ESP,Spain,2023,55,1.669,2,1,2,1,2,0,1,0,1
EST,Estonia,2023,89,0,1,0,1,0,1,0,1,0,1
ETH,Ethiopia,2023,62,1.272,2,0,1,0,1,0,1,0,1
FIN,Finland,2023,89,0,1,0,1,0,1,0,1,0,1
FRA,France,2023,38,2.647,3,2,2,0,1,0,1,0,1
GAB,Gabon,2023,89,0,1,0,1,0,1,0,1,0,1
GBR,United Kingdom,2023,41,2.373,3,3,2,1,2,3,2,0,1
GEO,Georgia,2023,89,0,1,0,1,0,1,0,1,0,1
GHA,Ghana,2023,89,0,1,0,1,0,1,0,1,0,1
GIN,Guinea,2023,89,0,1,0,1,0,1,0,1,0,1
GMB,The Gambia,2023,89,0,1,0,1,0,1,0,1,0,1
GNB,Guinea-Bissau,2023,89,0,1,0,1,0,1,0,1,0,1
GNQ,Equatorial Guinea,2023,89,0,1,0,1,0,1,0,1,0,1
GRC,Greece,2023,34,3.028,3,3,2,0,1,0,1,2,2
GTM,Guatemala,2023,89,0,1,0,1,0,1,0,1,0,1
GUY,Guyana,2023,89,0,1,0,1,0,1,0,1,0,1
HND,Honduras,2023,89,0,1,0,1,0,1,0,1,0,1
HRV,Croatia,2023,89,0,1,0,1,0,1,0,1,0,1
HTI,Haiti,2023,89,0,1,0,1,0,1,0,1,0,1
HUN,Hungary,2023,89,0,1,0,1,0,1,0,1,0,1
IDN,Indonesia,2023,31,3.993,3,4,2,3,2,0,1,6,3
IND,India,2023,14,6.324,5,118,6,73,5,131,6,36,5
IRL,Ireland,2023,88,0.03,2,0,1,0,1,0,1,0,1
IRN,Iran,2023,26,4.464,4,14,3,22,4,19,3,0,1
IRQ,Iraq,2023,11,7.078,5,115,6,69,5,77,5,13,4
ISL,Iceland,2023,79,0.233,2,0,1,0,1,0,1,0,1
ISR,Israel,2023,2,8.143,6,20,3,1210,6,4537,6,242,6
ITA,Italy,2023,58,1.447,2,0,1,0,1,0,1,0,1
JAM,Jamaica,2023,89,0,1,0,1,0,1,0,1,0,1
JOR,Jordan,2023,75,0.455,2,0,1,0,1,0,1,0,1
JPN,Japan,2023,64,1.189,2,1,2,0,1,2,2,0,1
KAZ,Kazakhstan,2023,89,0,1,0,1,0,1,0,1,0,1
KEN,Kenya,2023,18,5.616,4,41,4,70,5,99,5,3,3
KGZ,Kyrgyz Republic,2023,89,0,1,0,1,0,1,0,1,0,1
KHM,Cambodia,2023,89,0,1,0,1,0,1,0,1,0,1
KOR,South Korea,2023,89,0,1,0,1,0,1,0,1,0,1
KWT,Kuwait,2023,89,0,1,0,1,0,1,0,1,0,1
LAO,Laos,2023,89,0,1,0,1,0,1,0,1,0,1
LBN,Lebanon,2023,56,1.562,2,0,1,0,1,0,1,0,1
LBR,Liberia,2023,89,0,1,0,1,0,1,0,1,0,1
LBY,Libya,2023,39,2.469,3,0,1,0,1,0,1,0,1
LKA,Sri Lanka,2023,33,3.072,3,0,1,0,1,0,1,0,1
LSO,Lesotho,2023,89,0,1,0,1,0,1,0,1,0,1
LTU,Lithuania,2023,87,0.059,2,0,1,0,1,0,1,0,1
LVA,Latvia,2023,89,0,1,0,1,0,1,0,1,0,1
MAR,Morocco,2023,89,0,1,0,1,0,1,0,1,0,1
MDA,Moldova,2023,89,0,1,0,1,0,1,0,1,0,1
