code,name,year,rank,index_over,band_over,index_inci,band_inci,index_fata,band_fata,index_inju,band_inju,index_prop,band_prop
AFG,Afghanistan,2011,3,8.784,6,580,6,1561,6,2528,6,132,6
AGO,Angola,2011,66,1.741,2,0,1,0,1,0,1,0,1
ALB,Albania,2011,92,0.423,2,0,1,0,1,0,1,0,1
ARE,United Arab Emirates,2011,114,0,1,0,1,0,1,0,1,0,1
ARG,Argentina,2011,60,1.962,2,2,2,0,1,0,1,0,1
ARM,Armenia,2011,110,0.059,2,0,1,0,1,0,1,0,1
AUS,Australia,2011,114,0,1,0,1,0,1,0,1,0,1
AUT,Austria,2011,81,0.959,2,0,1,0,1,0,1,0,1
AZE,Azerbaijan,2011,65,1.775,2,1,2,1,2,4,2,0,1
BDI,Burundi,2011,23,4.407,4,3,2,41,4,9,3,0,1
BEL,Belgium,2011,91,0.443,2,1,2,0,1,0,1,0,1
BEN,Benin,2011,114,0,1,0,1,0,1,0,1,0,1
BFA,Burkina Faso,2011,114,0,1,0,1,0,1,0,1,0,1
BGD,Bangladesh,2011,42,3.122,3,3,2,0,1,9,3,0,1
BGR,Bulgaria,2011,92,0.423,2,1,2,0,1,0,1,0,1
BHR,Bahrain,2011,83,0.782,2,1,2,0,1,0,1,0,1
BIH,Bosnia and Herzegovina,2011,70,1.373,2,1,2,0,1,2,2,0,1
BLR,Belarus,2011,29,4.207,4,1,2,15,3,145,6,0,1
BOL,Bolivia,2011,88,0.539,2,0,1,0,1,0,1,0,1
BRA,Brazil,2011,92,0.423,2,0,1,0,1,0,1,0,1
BTN,Bhutan,2011,76,1.079,2,0,1,0,1,0,1,0,1
BWA,Botswana,2011,114,0,1,0,1,0,1,0,1,0,1
CAF,Central African Republic,2011,37,3.557,3,0,1,0,1,0,1,0,1
CAN,Canada,2011,89,0.493,2,0,1,0,1,0,1,0,1
CHE,Switzerland,2011,80,0.973,2,2,2,0,1,2,2,0,1
CHL,Chile,2011,58,2.1,3,6,3,0,1,1,2,0,1
CHN,China,2011,30,4.117,4,4,2,16,3,40,4,0,1
CIV,Cote d' Ivoire,2011,78,1.047,2,1,2,0,1,0,1,5,3
CMR,Cameroon,2011,49,2.683,3,2,2,2,2,0,1,11,4
COD,Democratic Republic of the Congo,2011,18,4.913,4,0,1,0,1,0,1,0,1
COG,Republic of the Congo,2011,97,0.386,2,0,1,0,1,0,1,0,1
COL,Colombia,2011,11,6.647,5,162,6,161,6,346,6,36,5
CRI,Costa Rica,2011,114,0,1,0,1,0,1,0,1,0,1
CUB,Cuba,2011,114,0,1,0,1,0,1,0,1,0,1
CYP,Cyprus,2011,92,0.423,2,1,2,0,1,0,1,0,1
CZE,Czechia,2011,114,0,1,0,1,0,1,0,1,0,1
DEU,Germany,2011,52,2.425,3,9,3,2,2,4,2,0,1
DJI,Djibouti,2011,114,0,1,0,1,0,1,0,1,0,1
DNK,Denmark,2011,92,0.423,2,0,1,0,1,0,1,0,1
DOM,Dominican Republic,2011,114,0,1,0,1,0,1,0,1,0,1
DZA,Algeria,2011,13,6.327,5,76,5,107,6,168,6,2,2
