code,name,year,rank,index_over,band_over,index_dist,band_dist,index_poli,band_poli,index_homi,band_homi,index_jail,band_jail,index_wmid,band_wmid,index_inco,band_inco,index_demo,band_demo,index_crim,band_crim,index_inst,band_inst,index_rehr,band_rehr,index_weim,band_weim,index_gtdx,band_gtdx,index_icon,band_icon,index_ndic,band_ndic,index_mexp,band_mexp,index_army,band_army,index_unfu,band_unfu,index_hewe,band_hewe,index_weex,band_weex,index_refu,band_refu,index_rela,band_rela,index_econ,band_econ,index_ndec,band_ndec,index_militarisation,band_militarisation,index_safety_security,band_safety_security,index_domestic_international_conflict,band_domestic_international_conflict
ESH,Western Sahara,2023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
BRB,Barbados,2023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CPV,Cabo Verde,2023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LIE,Liechtenstein,2023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MLT,Malta,2023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MHL,Marshall Islands,2023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SUR,Suriname,2023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LUX,Luxembourg,2023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ISL,Iceland,2023,1,1.12447459,1,1.619,1,1.958,2,1.735,2,1.293,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.499,3,1,1,1,1,1.072,1,1,1,1.054122091,2,1,1,1,1,1.008,3,1,1,1,1,1,1,1.014837893,1,1.281764706,1,1,1
DNK,Denmark,2023,2,1.310256021,1,1.542,1,1.961,2,1.475,1,1.57,2,1,1,1,1,1.75,2,1,1,1,1,1,1,2.429,5,1,1,1,1,1,1,1.626,3,1.398,3,1.00279783,1,1.098,3,1.55,5,1,1,2,1,1.5,3,1,1,1.403270333,1,1.304970588,1,1.247181965,1
IRL,Ireland,2023,3,1.311908185,1,2.376,2,2.383,2,1.345,1,1.696,2,2,1,1,1,1.75,2,2,1,1.125,1,1,1,1.146,3,1.063,3,1,1,1,1,1.11,1,1.248,2,1.054067265,2,1.008,1,1.325,5,1,1,1,1,1.3,3,1,1,1.300890266,1,1.547676471,1,1.027536232,1
NZL,New Zealand,2023,4,1.312505279,1,2.607,3,1.972,2,2.157,3,2.242,3,1,1,1,1,1.5,1,1,1,1,1,1,1,1.818,5,2.309,4,1,1,1,1,1.659,3,1.274,2,1,1,1.016,2,1.156,4,1,1,1,1,1.1,3,1,1,1.236352941,1,1.594382353,1,1.009178744,1
AUT,Austria,2023,5,1.315767328,1,2.037,2,2.7,4,1.36,1,1.767,2,2,1,1,1,1.75,2,1,1,1.25,1,1,1,1.115,3,2.072,4,1.211,4,1,1,1.373,1,1.396,3,1.043349091,1,1.071,3,1.171,4,1,1,1,1,1.5,3,1,1,1.328276364,1,1.510176471,1,1.067639291,1
SGP,Singapore,2023,6,1.33216788,1,1.196,1,1.856,2,1.085,1,2.234,3,1,1,1,1,1,1,1,1,1.25,1,1.5,1,5,5,1,1,1,1,1,1,2.343,5,2.298,5,1,1,1.215,4,1.442,5,1,1,1,1,1,1,1,1,1.897235294,4,1.299941176,1,1,1
PRT,Portugal,2023,7,1.333058719,1,1.694,1,3.26,4,1.455,1,1.965,3,1,1,1,1,1.5,1,1,1,1.375,1,1.5,1,1.153,3,1,1,1,1,1,1,1.483,2,1.395,3,1.403006489,3,1.069,3,1.172,4,1,1,1,1,2.5,4,1,1,1.211236057,1,1.546382353,1,1.137681159,1
SVN,Slovenia,2023,8,1.334329676,1,1.511,1,2.706,4,1.265,1,1.522,2,1,1,2,2,1.25,1,1,1,1.375,1,1,1,1.059,2,1,1,1,1,1,1,1.679,3,1.459,3,1,1,1.017,2,1.488,5,1,1,2,1,1,1,1,1,1.229941176,1,1.339029412,1,1.40257649,1
JPN,Japan,2023,9,1.336436707,1,1.996,2,2.003,2,1.125,1,1.285,1,1,1,1,1,1,1,1,1,1,1,1,1,1.54,4,1.94,4,1,1,1,1,1.535,2,1.303,2,1.145267191,2,1.871,5,1.003,4,1,1,3,3,1,1,1,1,1.333443199,1,1.271529412,1,1.40257649,1
CHE,Switzerland,2023,10,1.338610008,1,1.524,1,2.08,2,1.27,1,1.57,2,2,1,1,1,1.5,1,1,1,1,1,1,1,1.064,3,1.715,3,1,1,1,1,1.33,1,1.34,3,1.05400928,2,1.146,4,3.91,5,1,1,1,1,1.5,3,1,1,1.80847168,3,1.309764706,1,1.04589372,1
CAN,Canada,2023,11,1.34967994,1,1.936,2,1.94,2,1.985,2,1.672,2,2,1,1,1,1.75,2,1,1,1,1,1.5,1,1.363,4,2.22,4,1,1,1,1,1.535,2,1.263,2,1,1,1.336,5,1.528,5,1,1,1,1,1.4,3,1,1,1.465529412,1,1.537470588,1,1.036714976,1
CZE,Czechia,2023,12,1.379081787,1,1.763,1,2.877,4,1.36,1,2.424,4,1,1,1,1,1.75,2,1,1,1.5,1,1,1,1.156,3,1,1,1,1,1,1,1.616,2,1.346,3,1.05369045,2,1.091,3,1.707,5,1.002,2,2,1,1.5,3,1,1,1.278669465,1,1.526176471,1,1.247181965,1
FIN,Finland,2023,13,1.398753646,1,1.65,1,1.696,1,1.82,2,1.403,1,2,1,1,1,1,1,1,1,1,1,1,1,1.783,5,1,1,1,1,1,1,1.989,4,1.528,4,1.053947896,2,1.155,4,1.589,5,1,1,3,3,1.5,3,1,1,1.584699752,2,1.250794118,1,1.448470209,2
HRV,Croatia,2023,14,1.449593644,1,1.542,1,3.43,5,1.475,1,1.783,2,3,2,1,1,1,1,1,1,1.5,1,2,2,1.122,3,1,1,1,1,1,1,1.879,4,1.63,4,1.112161598,2,1.072,3,1.027,4,1.146,4,2,1,1,1,1,1,1.5754896,2,1.580852941,1,1.201288245,1
