code,name,year,rank,index_over,band_over,index_inci,band_inci,index_fata,band_fata,index_inju,band_inju,index_prop,band_prop
AFG,Afghanistan,2019,1,8.715,6,380,6,1194,6,2727,6,103,6
AGO,Angola,2019,96,0.233,2,0,1,0,1,0,1,0,1
ALB,Albania,2019,111,0,1,0,1,0,1,0,1,0,1
ARE,United Arab Emirates,2019,108,0.044,2,0,1,0,1,0,1,0,1
ARG,Argentina,2019,64,1.82,2,2,2,0,1,0,1,0,1
ARM,Armenia,2019,104,0.059,2,0,1,0,1,0,1,0,1
AUS,Australia,2019,68,1.448,2,1,2,0,1,0,1,0,1
AUT,Austria,2019,82,0.74,2,0,1,0,1,0,1,0,1
AZE,Azerbaijan,2019,104,0.059,2,0,1,0,1,0,1,0,1
BDI,Burundi,2019,53,2.823,3,0,1,0,1,0,1,0,1
BEL,Belgium,2019,49,3.021,3,0,1,0,1,0,1,0,1
BEN,Benin,2019,72,1.293,2,1,2,1,2,0,1,2,2
BFA,Burkina Faso,2019,7,7.382,5,266,6,682,6,221,6,45,5
BGD,Bangladesh,2019,40,3.695,3,10,3,1,2,21,4,0,1
BGR,Bulgaria,2019,111,0,1,0,1,0,1,0,1,0,1
BHR,Bahrain,2019,62,2.057,3,0,1,0,1,0,1,0,1
BIH,Bosnia and Herzegovina,2019,91,0.386,2,0,1,0,1,0,1,0,1
BLR,Belarus,2019,111,0,1,0,1,0,1,0,1,0,1
BOL,Bolivia,2019,111,0,1,0,1,0,1,0,1,0,1
BRA,Brazil,2019,51,2.92,3,3,2,8,3,10,3,0,1
BTN,Bhutan,2019,111,0,1,0,1,0,1,0,1,0,1
BWA,Botswana,2019,111,0,1,0,1,0,1,0,1,0,1
CAF,Central African Republic,2019,60,2.238,3,0,1,0,1,0,1,0,1
CAN,Canada,2019,47,3.036,3,1,2,0,1,0,1,0,1
CHE,Switzerland,2019,85,0.653,2,0,1,0,1,0,1,0,1
CHL,Chile,2019,29,4.576,4,103,6,1,2,27,4,0,1
CHN,China,2019,48,3.028,3,0,1,0,1,0,1,0,1
CIV,Cote d' Ivoire,2019,65,1.716,2,0,1,0,1,0,1,0,1
CMR,Cameroon,2019,10,7.25,5,222,6,288,6,210,6,610,6
COD,Democratic Republic of the Congo,2019,38,3.765,3,9,3,18,3,0,1,12,4
COG,Republic of the Congo,2019,111,0,1,0,1,0,1,0,1,0,1
COL,Colombia,2019,12,6.75,5,342,6,154,6,374,6,32,5
CRI,Costa Rica,2019,111,0,1,0,1,0,1,0,1,0,1
CUB,Cuba,2019,111,0,1,0,1,0,1,0,1,0,1
CYP,Cyprus,2019,99,0.229,2,0,1,0,1,0,1,0,1
CZE,Czechia,2019,94,0.325,2,0,1,0,1,0,1,0,1
DEU,Germany,2019,36,3.942,3,29,4,3,2,22,4,0,1
DJI,Djibouti,2019,111,0,1,0,1,0,1,0,1,0,1
DNK,Denmark,2019,89,0.459,2,0,1,0,1,0,1,0,1
DOM,Dominican Republic,2019,111,0,1,0,1,0,1,0,1,0,1
DZA,Algeria,2019,39,3.724,3,7,3,2,2,17,3,0,1
ECU,Ecuador,2019,54,2.815,3,2,2,1,2,2,2,0,1
EGY,Egypt,2019,11,7.003,5,84,5,151,6,218,6,26,5
ERI,Eritrea,2019,111,0,1,0,1,0,1,0,1,0,1
ESP,Spain,2019,50,2.924,3,2,2,0,1,0,1,0,1
EST,Estonia,2019,111,0,1,0,1,0,1,0,1,0,1
ETH,Ethiopia,2019,41,3.588,3,1,2,0,1,9,3,0,1
FIN,Finland,2019,81,0.897,2,0,1,0,1,0,1,0,1
FRA,France,2019,26,4.693,4,25,4,4,2,22,4,0,1
GAB,Gabon,2019,96,0.233,2,0,1,0,1,0,1,0,1
GBR,United Kingdom,2019,32,4.439,4,28,4,3,2,9,3,0,1
GEO,Georgia,2019,100,0.192,2,0,1,0,1,0,1,0,1
GHA,Ghana,2019,111,0,1,0,1,0,1,0,1,0,1
GIN,Guinea,2019,111,0,1,0,1,0,1,0,1,0,1
GMB,The Gambia,2019,111,0,1,0,1,0,1,0,1,0,1
GNB,Guinea-Bissau,2019,111,0,1,0,1,0,1,0,1,0,1
GNQ,Equatorial Guinea,2019,111,0,1,0,1,0,1,0,1,0,1
GRC,Greece,2019,43,3.426,3,26,4,0,1,3,2,0,1
GTM,Guatemala,2019,111,0,1,0,1,0,1,0,1,0,1
GUY,Guyana,2019,111,0,1,0,1,0,1,0,1,0,1
HND,Honduras,2019,111,0,1,0,1,0,1,0,1,0,1
HRV,Croatia,2019,111,0,1,0,1,0,1,0,1,0,1
HTI,Haiti,2019,111,0,1,0,1,0,1,0,1,0,1
HUN,Hungary,2019,103,0.114,2,0,1,0,1,0,1,0,1
IDN,Indonesia,2019,30,4.552,4,10,3,7,3,16,3,0,1
IND,India,2019,9,7.274,5,317,6,224,6,362,6,16,4
IRL,Ireland,2019,88,0.462,2,1,2,0,1,0,1,0,1
IRN,Iran,2019,25,5.13,4,12,3,40,4,26,4,2,2
IRQ,Iraq,2019,2,8.668,6,494,6,533,6,896,6,32,5
ISL,Iceland,2019,111,0,1,0,1,0,1,0,1,0,1
ISR,Israel,2019,34,4.239,4,36,4,4,2,23,4,0,1
ITA,Italy,2019,46,3.28,3,12,3,0,1,0,1,52,6
JAM,Jamaica,2019,111,0,1,0,1,0,1,0,1,0,1
JOR,Jordan,2019,52,2.91,3,2,2,3,2,16,3,0,1
JPN,Japan,2019,69,1.372,2,1,2,0,1,9,3,0,1
KAZ,Kazakhstan,2019,77,1.103,2,0,1,0,1,0,1,0,1
KEN,Kenya,2019,19,5.823,4,34,4,73,5,72,5,10,3
KGZ,Kyrgyz Republic,2019,100,0.192,2,0,1,0,1,0,1,0,1
KHM,Cambodia,2019,111,0,1,0,1,0,1,0,1,0,1
KOR,South Korea,2019,108,0.044,2,0,1,0,1,0,1,0,1
KWT,Kuwait,2019,63,1.954,2,0,1,0,1,0,1,0,1
LAO,Laos,2019,71,1.296,2,0,1,0,1,0,1,0,1
LBN,Lebanon,2019,44,3.391,3,1,2,4,2,1,2,0,1
LBR,Liberia,2019,111,0,1,0,1,0,1,0,1,0,1
LBY,Libya,2019,21,5.511,4,9,3,20,3,20,3,6,3
LKA,Sri Lanka,2019,18,5.915,4,11,3,197,6,127,6,0,1
LSO,Lesotho,2019,111,0,1,0,1,0,1,0,1,0,1
LTU,Lithuania,2019,84,0.72,2,2,2,0,1,0,1,0,1
LVA,Latvia,2019,111,0,1,0,1,0,1,0,1,0,1
MAR,Morocco,2019,78,1.047,2,0,1,0,1,0,1,0,1
MDA,Moldova,2019,104,0.059,2,0,1,0,1,0,1,0,1
MDG,Madagascar,2019,70,1.353,2,0,1,0,1,0,1,0,1
MEX,Mexico,2019,58,2.472,3,7,3,0,1,2,2,0,1
MKD,North Macedonia,2019,83,0.73,2,0,1,0,1,0,1,0,1
MLI,Mali,2019,8,7.298,5,152,6,389,6,324,6,40,5
MMR,Myanmar,2019,23,5.261,4,34,4,65,5,47,4,117,6
MNE,Montenegro,2019,111,0,1,0,1,0,1,0,1,0,1
MNG,Mongolia,2019,111,0,1,0,1,0,1,0,1,0,1
MOZ,Mozambique,2019,13,6.727,5,127,6,348,6,89,5,39,5
MRT,Mauritania,2019,90,0.423,2,0,1,0,1,0,1,0,1
MUS,Mauritius,2019,104,0.059,2,0,1,0,1,0,1,0,1
MWI,Malawi,2019,111,0,1,0,1,0,1,0,1,0,1
MYS,Malaysia,2019,73,1.146,2,0,1,0,1,0,1,0,1
NAM,Namibia,2019,111,0,1,0,1,0,1,0,1,0,1
NER,Niger,2019,14,6.6,5,82,5,282,6,100,5,102,6
NGA,Nigeria,2019,4,7.951,5,158,6,688,6,312,6,52,6
NIC,Nicaragua,2019,111,0,1,0,1,0,1,0,1,0,1
NLD,Netherlands,2019,59,2.347,3,1,2,4,2,4,2,0,1
NOR,Norway,2019,79,0.999,2,2,2,0,1,2,2,0,1
NPL,Nepal,2019,27,4.609,4,94,5,4,2,17,3,1,2
NZL,New Zealand,2019,28,4.586,4,1,2,51,5,49,4,0,1
OMN,Oman,2019,111,0,1,0,1,0,1,0,1,0,1
PAK,Pakistan,2019,5,7.587,5,140,6,250,6,589,6,9,3
PAN,Panama,2019,111,0,1,0,1,0,1,0,1,0,1
PER,Peru,2019,55,2.706,3,1,2,2,2,0,1,0,1
PHL,Philippines,2019,15,6.545,5,133,6,114,6,299,6,6,3
PNG,Papua New Guinea,2019,111,0,1,0,1,0,1,0,1,0,1
POL,Poland,2019,111,0,1,0,1,0,1,0,1,0,1
PRK,North Korea,2019,111,0,1,0,1,0,1,0,1,0,1
PRT,Portugal,2019,111,0,1,0,1,0,1,0,1,0,1
PRY,Paraguay,2019,61,2.151,3,4,2,0,1,0,1,0,1
PSE,Palestine,2019,31,4.536,4,26,4,6,3,21,4,0,1
QAT,Qatar,2019,111,0,1,0,1,0,1,0,1,0,1
ROU,Romania,2019,80,0.949,2,0,1,0,1,0,1,0,1
RUS,Russia,2019,37,3.872,3,4,2,2,2,5,2,0,1
RWA,Rwanda,2019,75,1.136,2,2,2,0,1,4,2,0,1
SAU,Saudi Arabia,2019,45,3.384,3,5,2,0,1,6,3,0,1
SDN,Sudan,2019,76,1.123,2,0,1,0,1,0,1,0,1
SEN,Senegal,2019,67,1.491,2,0,1,0,1,0,1,0,1
SGP,Singapore,2019,111,0,1,0,1,0,1,0,1,0,1
SLE,Sierra Leone,2019,111,0,1,0,1,0,1,0,1,0,1
SLV,El Salvador,2019,111,0,1,0,1,0,1,0,1,0,1
SOM,Somalia,2019,3,8.173,6,304,6,693,6,752,6,104,6
SRB,Serbia,2019,111,0,1,0,1,0,1,0,1,0,1
SSD,South Sudan,2019,86,0.556,2,0,1,0,1,0,1,0,1
SVK,Slovakia,2019,111,0,1,0,1,0,1,0,1,0,1
SVN,Slovenia,2019,111,0,1,0,1,0,1,0,1,0,1
