code,name,year,rank,index_over,band_over,index_dist,band_dist,index_poli,band_poli,index_homi,band_homi,index_jail,band_jail,index_wmid,band_wmid,index_inco,band_inco,index_demo,band_demo,index_crim,band_crim,index_inst,band_inst,index_rehr,band_rehr,index_weim,band_weim,index_gtdx,band_gtdx,index_icon,band_icon,index_ndic,band_ndic,index_mexp,band_mexp,index_army,band_army,index_unfu,band_unfu,index_hewe,band_hewe,index_weex,band_weex,index_refu,band_refu,index_rela,band_rela,index_econ,band_econ,index_ndec,band_ndec,index_militarisation,band_militarisation,index_safety_security,band_safety_security,index_domestic_international_conflict,band_domestic_international_conflict
AFG,Afghanistan,2020,163,3.580874733,5,4.968,5,3.5,5,3.17,4,1.696,2,5,5,5,5,2.75,4,5,5,5,5,5,5,1.48,4,4.598,5,5,5,5,5,5,5,1.728,4,3.192786,4,1.144,4,1,1,5,5,4,5,1,1,1,1,2.601974824,5,4.135823529,5,3.626409018,5
AGO,Angola,2020,67,1.918211595,3,3.458,5,2.5,2,2.712,4,1.759,2,3,2,2,2,2.5,4,3,3,2.25,2,3,3,1.344,4,1.204,2,1.105,4,1,1,1.908,4,1.503,3,2.7317034,4,1.366,5,1,1,1.008,3,2,1,1,1,1,1,1.827729812,3,2.380558824,3,1.413397746,2
ALB,Albania,2020,42,1.773708476,2,2.55,3,2.846,4,2.002,2,2.4,4,4,3,2,2,1.75,2,3,3,2.375,3,2,2,1.077,3,1,1,1,1,1,1,1.612,3,1.423,3,1.003730022,1,1.001,1,1,1,1.172,4,2,1,1.125,2,1,1,1.660850591,2,2.142176471,2,1.414049919,2
ARE,United Arab Emirates,2020,90,2.02234894,3,1.27,1,4.5,5,1.325,1,1.846,3,2,1,2,2,1,1,1,1,2.25,2,3,3,5,5,1.091,2,1,1,1,1,3.212,5,2.04,5,2.906495483,4,1.503,5,2.737,5,1.001,2,3,3,3.5,5,1,1,2.649234763,5,1.833352941,2,1.833333333,4
ARG,Argentina,2020,72,1.947688646,3,3.772,5,5,5,2.817,4,2.82,5,3,2,2,2,2.75,4,3,3,2.5,3,2,2,1.047,2,2.188,4,1,1,1,1,1.349,1,1.252,2,2.462131323,4,1.217,4,1,1,1,1,1,1,1,1,1,1,1.639486038,2,2.725588235,4,1.201288245,1
ARM,Armenia,2020,70,1.935214899,3,1.415,1,2.5,2,2.095,3,1.941,3,3,2,2,2,1.75,2,2,1,2.75,3,3,3,2.823,5,1.117,2,1.105,4,1,1,3.26,5,3.415,5,1,1,1.083,3,1,1,1.128,4,3,3,1.875,4,1,1,2.132058824,5,2.027764706,2,1.695,3
AUS,Australia,2020,15,1.434136372,1,2.567,3,2.36,2,1.425,1,2.361,4,1,1,1,1,1.5,1,1,1,1,1,1,1,4.892,5,2.035,3,1.263,4,1.087,4,2.032,4,1.345,3,1,1,1.289,4,1.514,5,1,1,1,1,1.625,4,1,1,1.761588235,3,1.533352941,1,1.101983897,1
AUT,Austria,2020,2,1.265383765,1,1.746,1,2.66,3,1.395,1,1.775,2,2,1,1,1,1.5,1,1,1,1,1,1,1,1.074,3,1.667,3,1,1,1,1,1.349,1,1.391,3,1.084619065,2,1.076,3,1.182,5,1,1,1,1,1.475,3,1,1,1.32771989,1,1.4105,1,1.043599034,1
AZE,Azerbaijan,2020,98,2.046199316,3,1.767,1,1.678,1,2.01,2,2.733,4,4,3,2,2,1.25,1,2,1,3.5,4,3,3,2.788,5,1.117,2,1.211,4,1,1,2.773,5,1.995,5,1.010493741,1,1.269,4,1,1,3.138,5,3,3,1.125,2,1,1,2.114116911,5,2.326764706,3,1.637083736,3
BDI,Burundi,2020,135,2.458410768,4,2.559,3,1.821,1,3.013,4,1.704,2,3,2,4,4,2.75,4,4,4,4,5,4,4,1.007,1,2.593,4,1.421,4,2.092,5,2.003,4,1.385,3,1,1,1.02,2,1,1,2.149,5,3,3,2.825,5,1.375,5,1.520588235,1,2.951058824,5,2.51263124,5
