code,name,year,rank,index_over,band_over,index_dist,band_dist,index_poli,band_poli,index_homi,band_homi,index_jail,band_jail,index_wmid,band_wmid,index_inco,band_inco,index_demo,band_demo,index_crim,band_crim,index_inst,band_inst,index_rehr,band_rehr,index_weim,band_weim,index_gtdx,band_gtdx,index_icon,band_icon,index_ndic,band_ndic,index_mexp,band_mexp,index_army,band_army,index_unfu,band_unfu,index_hewe,band_hewe,index_weex,band_weex,index_refu,band_refu,index_rela,band_rela,index_econ,band_econ,index_ndec,band_ndec,index_militarisation,band_militarisation,index_safety_security,band_safety_security,index_domestic_international_conflict,band_domestic_international_conflict
AFG,Afghanistan,2009,160,3.234668625,5,3.96,5,2.5,3,2.482,3,1.372,1,5,5,5,5,1.5,4,5,5,4.25,5,5,5,1.121,3,4.148,5,2.474,5,4.402,5,5,5,1.297,2,4.2,5,1.038494315,2,1,1,4.82,5,4,5,1,1,1,1,2.608910761,5,3.602941176,5,3.245710145,5
AGO,Angola,2009,94,2.008554781,3,3.521,5,2.5,3,2.59,3,1.364,1,3,2,2,2,2.25,5,2,1,2.625,3,3.5,4,1.077,3,1,1,1.211,4,2.002,5,2.199,4,1.938,4,1.539251092,2,1.326101839,4,1,1,1.26,5,3,4,1,1,1,1,1.734400453,2,2.317794118,3,1.827301127,4
ALB,Albania,2009,50,1.77864265,2,2.605,3,2.714,4,2.275,3,2.139,4,4,3,1,1,1,1,3,3,2.75,3,2.5,2,1.055,2,1,1,1,1,1,1,1.956,4,1.663,4,1.5447221,2,1.002419643,1,1,1,1.168,5,2,2,1.75,5,1,1,1.79086489,2,2.180764706,2,1.270128824,2
ARE,United Arab Emirates,2009,27,1.627272346,2,1.244,1,3.5,5,1.39,1,2.812,5,2,1,1,1,1.25,3,1.5,1,2.625,3,2,1,5,5,1,1,1,1,1,1,2.343,5,2.377,5,1.796143725,2,1.52313774,4,1.177,4,1.001,2,1,1,1,1,1,1,2.18427651,4,1.837705882,1,1,1
ARG,Argentina,2009,68,1.885565409,2,3.665,5,4.436,5,2.843,3,2.179,4,2,1,2,2,1,1,3,3,2.375,2,2,1,1.076,3,1.0232,2,1,1,1,1,1.416,2,1.291,2,1.47231193,2,1.422612586,4,1.001,3,1.001,2,3,4,1,1,1,1,1.398909507,1,2.375364706,3,1.603864734,3
ARM,Armenia,2009,117,2.157435674,3,1.931,1,2.5,3,2.168,2,1.941,3,4,3,2,2,1,1,3,3,3.75,5,2.5,2,1.544,4,1.092,2,1.053,4,1,1,2.682,5,3.312,5,2.329010381,3,1.090406648,3,1.036,4,1.18,5,5,5,1.375,4,1,1,2.241955336,5,2.196823529,2,2.046323671,5
AUS,Australia,2009,11,1.420218091,1,2.675,3,2.12,2,1.685,1,2.028,3,1,1,1,1,1,1,2,1,1.25,1,1,1,2.874,5,1.1996,3,1,1,1,1,1.927,4,1.406,3,1.214668396,1,1.371360155,4,1.245,4,1,1,1,1,2.725,5,1,1,1.511318662,1,1.576711765,1,1.158333333,1
AUT,Austria,2009,8,1.362174184,1,1.984,1,2.607,4,1.37,1,1.775,3,2,1,1,1,1,1,1,1,1.25,1,2,1,1.914,5,1.7756,4,1,1,1,1,1.33,1,1.637,4,1.121711474,1,1.195056193,3,1.599,5,1,1,1,1,1.25,4,1,1,1.552211266,1,1.533211765,1,1.02294686,1
AZE,Azerbaijan,2009,127,2.233579385,3,1.928,1,1.678,1,2.14,2,2.867,5,4,3,2,2,1.25,3,2,1,3.625,5,3,3,1.728,4,1.9788,4,1.105,4,1,1,2.548,5,2.169,5,1.240603773,1,1.216008099,4,1,1,3.268,5,5,5,1.75,5,1,1,2.001131285,3,2.448782353,4,2.08610306,5
BDI,Burundi,2009,132,2.310225569,3,2.818,3,2.289,2,2.852,3,1.823,3,4,3,4,5,1,1,3,3,3,4,4,5,1,1,2.6752,5,1.842,5,2.049,5,2.314,5,1.346,2,1.051913654,1,1.013582994,1,1,1,2.519,5,3,4,1,1,1,1,1.73321037,2,2.665423529,4,2.30436876,5
BEL,Belgium,2009,17,1.478794734,2,2.281,2,2.834,4,2.27,3,1.728,2,2,1,1,1,1,1,2,1,1.25,1,1.5,1,1.516,4,1.092,2,1,1,1,1,1.478,2,1.559,3,1.66687708,2,1.140064314,3,2.336,5,1,1,1,1,1.525,5,1,1,1.698114536,2,1.699794118,1,1.048188406,1
BEN,Benin,2009,106,2.079974581,3,2.883,3,3.5,5,3.082,4,1.546,2,4,3,4,5,1,1,3,3,2.375,2,2,1,1.005,1,1.092,2,1,1,1,1,1.33,1,1.086,1,2.343570204,3,1.008743709,1,1,1,1.001,2,4,5,1,1,1,1,1.738551267,2,2.200088235,2,2.207729469,5
BFA,Burkina Faso,2009,52,1.783963941,2,2.858,3,3.5,5,1.25,1,1.253,1,4,3,2,2,2.75,5,1,1,2.75,3,3,3,1.019,2,1,1,1,1,1,1,1.569,2,1.11,1,1.111603892,1,1.008248782,1,1,1,1.002,2,3,4,1,1,1,1,1.626114949,1,2.032088235,2,1.603864734,3
BGD,Bangladesh,2009,78,1.944927177,3,1.834,1,1.5,1,2.24,3,1.467,1,3,2,3,4,1.5,4,4,5,2.375,2,4,5,1.035,2,2.6484,5,1.158,4,1,1,1.377,1,1.148,1,3.783979876,4,1.217712847,4,1,1,1.002,2,2,2,1,1,1,1,1.784770488,2,2.313758824,3,1.620148148,3
BGR,Bulgaria,2009,35,1.683901268,2,3.192,4,3.246,4,2.11,2,2.06,4,3,2,1,1,1,1,3,3,1.375,1,2.5,2,1.589,4,1.0616,2,1,1,1,1,1.736,3,1.829,4,1.374199097,2,1.801286661,5,1.433,5,1.013,3,1,1,1.75,5,1,1,1.868191657,3,2.076741176,2,1.06884058,1
BHR,Bahrain,2009,67,1.884007073,2,1.943,1,5,5,1.545,1,1.672,2,2,1,2,2,2.75,5,1,1,3.625,5,2,1,3.661,5,1.3568,3,1,1,1,1,2.324,5,2.078,5,3.559213616,4,1.155242073,3,1,1,1.002,2,2,2,1,1,1,1,2.100597262,4,2.161664706,2,1.40257649,2
BIH,Bosnia and Herzegovina,2009,46,1.772796803,2,2.27,2,3.245,4,1.905,2,1.617,2,3,2,2,2,1,1,2,1,2.5,3,2,1,1,1,1.842,4,1,1,1,1,1.621,3,1.347,2,1.740236308,2,1.210673886,4,1,1,2.662,5,2,2,1.375,4,1,1,1.591087898,1,2.127882353,2,1.436996779,3
BLR,Belarus,2009,116,2.150313014,3,3.041,3,2.669,4,4.015,5,4.631,5,3,2,3,4,1,1,2,1,2.75,3,2.5,2,1.204,3,1.9976,4,1,1,1,1,1.473,2,2.151,5,1.22985011,1,1.908960759,5,1.948,5,1.018,4,3,4,1,1,1,1,1.922740147,3,2.563241176,4,1.805152979,4
BOL,Bolivia,2009,92,2.002332334,3,3.716,5,2.41,3,3.042,4,1.593,2,4,3,3,4,1.25,3,3,3,3.375,4,2.5,2,1.023,2,1.278,3,1,1,1,1,1.593,2,1.721,4,3,4,1.067969962,3,1,1,1.002,2,2,2,1,1,1,1,1.933994699,3,2.386441176,3,1.603864734,3
BRA,Brazil,2009,83,1.957770674,3,4,5,1.956,2,5,5,2.827,5,4,3,1,1,1,1,4,5,1.25,1,4,5,1.062,3,1.2108,3,1.211,4,1,1,1.655,3,1.258,2,2.079589007,3,1.862822573,5,1.034,4,1,1,1,1,1,1,1,1,1.929390925,3,2.728547059,5,1.021745572,1
BTN,Bhutan,2009,59,1.837232273,2,2.965,3,1.5,1,1.685,1,2.084,4,2,1,2,2,1,1,2,1,2.5,3,1,1,1,1,1.974,4,1.053,4,1,1,1.956,4,1.101,1,4.112476194,5,1,1,1,1,5,5,2,2,1,1,1,1,1.666997199,2,2.215735294,3,1.408038647,2
BWA,Botswana,2009,54,1.795943306,2,3.825,5,3.5,5,4.422,5,3.571,5,3,2,1,1,1,1,3,3,1.25,1,2,1,1.064,3,1,1,1,1,1,1,2.305,5,1.72,4,1.848974792,2,1.042618706,2,1,1,1,1,1,1,1,1,1,1,1.706106218,2,2.481647059,4,1,1
CAF,Central African Republic,2009,149,2.621689463,4,2.491,2,1.5,1,4.365,5,1.229,1,5,5,2,2,1.25,3,4,5,4.25,5,4.5,5,1.029,2,1.4812,3,1.263,5,2.1,5,1.989,4,1.105,1,4.9838432,5,1.005059253,1,1,1,3.376,5,5,5,1,1,1,1,2.307580245,5,3.068717647,5,2.254962963,5
CAN,Canada,2009,9,1.371900378,1,2.066,2,1.96,2,1.935,2,1.91,3,2,1,1,1,1,1,1,1,1,1,1.5,1,1.632,4,1.8384,4,1,1,1,1,1.588,2,1.293,2,1.305770898,1,1.379773913,4,2.065,5,1,1,1,1,1.575,5,1,1,1.645403737,1,1.4772,1,1.052777778,1
CHE,Switzerland,2009,15,1.471432911,2,1.926,1,2.116,2,1.595,1,1.593,2,2,1,1,1,1,1,1,1,1,1,2,1,2.068,5,1.1384,2,1,1,1,1,1.354,1,1.454,3,1.252565048,1,1.356732316,4,5,5,1,1,1,1,1.25,4,1,1,2.19572512,4,1.428288235,1,1.02294686,1
CHL,Chile,2009,30,1.653323306,2,3.794,5,1.966,2,2.402,3,3.302,5,3,2,1,1,1.25,3,2,1,1,1,1.5,1,3.246,5,1.854,4,1,1,1,1,1.722,3,1.553,3,3.035628427,4,1.312738813,4,1.166,4,1.002,2,1,1,1,1,1,1,2.091145488,4,1.948823529,2,1,1
CHN,China,2009,105,2.074647449,3,2.079,2,2.5,3,1.67,1,1.957,3,2,1,3,4,3,5,2,1,2.875,4,3.5,4,1.137,3,2.574,4,1,1,1,1,1.626,3,1.251,2,1.510744434,2,5,5,1.053,4,1.004,3,3,4,1,1,1,1,2.07108758,4,2.292705882,3,1.805152979,4
CIV,Cote d' Ivoire,2009,126,2.231559931,3,3.491,5,1.402,1,4.244,5,1.483,1,4,3,3,4,2,4,3,3,3.875,5,4,5,1.006,1,2.0808,4,1.684,5,1,1,1.693,3,1.132,1,2.974608872,4,1.016827515,2,1,1,2.149,5,2,2,1,1,1,1,1.862452958,3,2.892988235,5,1.674357488,4
CMR,Cameroon,2009,96,2.030042188,3,3.282,4,2.5,3,2.99,3,1.941,3,3,2,3,4,1,1,4,5,2.875,4,3,3,1.006,1,1.6248,3,1,1,1,1,1.602,2,1.112,1,4.270921215,5,1.032225241,2,1,1,1.024,4,2,2,1,1,1,1,1.828148127,3,2.499252941,4,1.603864734,3
COD,Democratic Republic of the Congo,2009,154,2.77948376,4,3.502,5,1.5,1,4.348,5,1.459,1,5,5,4,5,2,4,5,5,4,5,5,5,1.016,2,3.444,5,3.526,5,2.861,5,1.406,1,1.366,3,3.279344262,4,1.057136562,2,1,1,1.968,5,3,4,1,1,1,1,2.076829306,4,3.339264706,5,2.64136715,5
COG,Republic of the Congo,2009,107,2.083479463,3,3.735,5,2.5,3,4.054,5,1.348,1,4,3,3,4,1,1,4,5,3.625,5,2.5,2,1.043,2,1,1,1,1,1,1,2.051,4,1.392,3,2.2,3,1.023316556,2,1,1,1.161,5,2,2,1,1,1,1,1.849526451,3,2.620852941,4,1.603864734,3
COL,Colombia,2009,150,2.626507688,4,3.181,4,2.613,4,5,5,2.226,4,4,3,4,5,1,1,4,5,2.25,2,4,5,1.137,3,3.3164,5,2.211,5,2.293,5,2.204,4,1.853,4,1.8579519,2,1.239324655,4,1,1,3.537,5,3,4,1,1,1.083,5,1.930698692,3,3.2012,5,2.408219002,5
