code,name,year,rank,index_over,band_over,index_dist,band_dist,index_poli,band_poli,index_homi,band_homi,index_jail,band_jail,index_wmid,band_wmid,index_inco,band_inco,index_demo,band_demo,index_crim,band_crim,index_inst,band_inst,index_rehr,band_rehr,index_weim,band_weim,index_gtdx,band_gtdx,index_icon,band_icon,index_ndic,band_ndic,index_mexp,band_mexp,index_army,band_army,index_unfu,band_unfu,index_hewe,band_hewe,index_weex,band_weex,index_refu,band_refu,index_rela,band_rela,index_econ,band_econ,index_ndec,band_ndec,index_militarisation,band_militarisation,index_safety_security,band_safety_security,index_domestic_international_conflict,band_domestic_international_conflict
AFG,Afghanistan,2021,163,3.587719047,5,4.973,5,3.5,5,3.165,4,1.696,2,5,5,5,5,3.25,5,5,5,5,5,5,5,1.502,4,4.558,5,5,5,5,5,5,5,1.698,4,2.832072478,4,1.132,4,1,1,5,5,4,5,1,1,1,1,2.556479115,5,4.177441176,5,3.626409018,5
AGO,Angola,2021,86,2.015739278,3,3.458,5,2.5,2,2.712,4,1.759,2,3,2,2,2,3.75,5,3,3,2.25,2,3,3,1.333,4,1.117,3,1.158,4,2.002,4,1.831,3,1.487,4,2.392571648,4,1.366,5,1,1,1.008,3,2,1,1,1,1,1,1.775596665,3,2.485735294,3,1.620550725,3
ALB,Albania,2021,43,1.780774039,2,2.707,3,2.834,4,2.072,3,2.4,4,4,3,2,2,1.75,1,3,3,2.375,3,2,2,1.048,2,1,1,1,1,1,1,1.702,3,1.424,3,1,1,1.001,1,1,1,1.178,4,2,1,1,1,1,1,1.667705882,2,2.163911765,2,1.40257649,2
ARE,United Arab Emirates,2021,80,1.979992027,3,1.364,1,4.5,5,1.325,1,1.846,3,2,1,1,1,1,1,1,1,2.25,2,3,3,5,5,1,1,1,1,1,1,3.638,5,2.031,5,2.14389729,4,1.49,5,2.869,5,1.001,2,3,4,4.25,5,1,1,2.629576152,5,1.836294118,2,1.700885668,3
ARG,Argentina,2021,71,1.926103636,3,3.543,5,5,5,2.845,4,2.82,5,3,2,2,2,2.75,4,3,3,2.25,2,1.5,1,1.042,2,1.956,4,1,1,1,1,1.358,1,1.243,2,3.506305364,5,1.216,4,1,1,1,1,1,1,1,1,1,1,1.761565337,3,2.606794118,4,1.201288245,1
ARM,Armenia,2021,72,1.937974787,3,1.432,1,2.5,2,1.845,2,1.593,2,3,2,2,2,1.75,1,2,1,3,3,2,2,2.833,5,1.063,2,1.105,4,1,1,3.375,5,3.428,5,1,1,1.087,3,1,1,1.121,4,4,5,1.65,4,1,1,2.149,5,1.876911765,2,1.875636071,4
AUS,Australia,2021,17,1.470450409,2,2.48,3,2.36,2,1.445,1,2.266,4,1,1,1,1,1.75,1,1,1,1,1,1.5,1,4.939,5,2.209,4,1.263,4,1,1,2.104,4,1.349,3,1,1,1.256,4,1.861,5,1,1,1,1,1.375,3,1,1,1.831470588,3,1.610764706,1,1.06152496,1
AUT,Austria,2021,7,1.318569655,1,1.528,1,2.7,4,1.485,1,1.744,2,2,1,1,1,1.75,1,1,1,1,1,1.5,1,1.092,3,2.528,4,1,1,1,1,1.382,1,1.376,3,1.092911217,1,1.074,3,1.178,5,1,1,1,1,1.45,3,1,1,1.331871908,1,1.534176471,1,1.041304348,1
AZE,Azerbaijan,2021,111,2.150904823,3,1.544,1,1.678,1,2.05,3,2.693,5,4,3,2,2,1.75,1,2,1,3.5,4,3,3,2.376,5,1.063,2,1.158,4,1,1,3.537,5,1.99,5,1.119045389,2,1.269,4,1,1,3.42,5,4,5,1,1,1,1,2.167711222,5,2.382382353,3,1.821436393,4
BDI,Burundi,2021,130,2.416475575,4,2.559,3,1.821,1,3.013,4,1.759,2,3,2,4,4,2.75,4,4,4,3.75,5,3.5,4,1.006,1,2.266,4,1.474,4,2.053,4,1.965,4,1.374,3,1.99090228,3,1.02,2,1,1,2.065,5,3,4,2.875,5,1.083,5,1.631282621,2,2.838558824,4,2.456056361,5
BEL,Belgium,2021,22,1.514967948,2,2.646,3,2.801,4,2.27,3,1.712,2,3,2,1,1,2,3,2,1,1.25,1,1,1,1.134,3,1.944,4,1.684,5,1,1,1.487,2,1.329,3,1.151967504,2,1.109,3,1.306,5,1,1,1,1,1.7,4,1,1,1.555819706,1,1.807205882,1,1.134743961,1
BEN,Benin,2021,110,2.146423056,3,3.145,4,3.5,5,3.075,4,1.554,2,4,3,3,3,3,4,3,3,3,3,2.5,3,1.002,1,1.764,3,1.211,4,1.043,4,1.172,1,1.087,1,4.690127908,5,1.007,1,1,1,1.002,2,2,1,2.25,4,1,1,1.995485636,4,2.571558824,4,1.749,3
BFA,Burkina Faso,2021,137,2.543710982,4,2.925,4,3.5,5,1.625,2,1.309,1,5,5,4,4,2.5,4,4,4,3,3,4,5,1.028,2,4.034,5,2.211,5,3.059,5,2.066,4,1.079,1,2.668736139,4,1.013,2,1,1,2.67,5,2,1,2.25,4,1,1,2.042498369,4,2.939705882,5,2.459144928,5
BGD,Bangladesh,2021,88,2.017768965,3,2.443,3,1.5,1,2.093,3,1.396,1,3,2,3,3,3.75,5,2,1,2.5,3,4,5,1.144,3,2.575,4,1.737,5,1,1,1.483,2,1.148,1,1.590143838,3,1.163,4,1,1,1.004,3,3,4,2.25,4,1,1,1.54231104,1,2.317794118,3,1.99584219,4
BGR,Bulgaria,2021,26,1.55607432,2,2.838,3,3.038,4,1.65,2,1.839,3,3,2,1,1,1.75,1,3,3,1.625,2,1.5,1,1.089,3,1,1,1,1,1,1,1.851,4,1.805,4,1.408963346,3,1.071,3,1.454,5,1.002,2,1,1,1,1,1,1,1.698995688,2,1.926558824,2,1,1
