code,name,year,rank,index_over,band_over,index_dist,band_dist,index_poli,band_poli,index_homi,band_homi,index_jail,band_jail,index_wmid,band_wmid,index_inco,band_inco,index_demo,band_demo,index_crim,band_crim,index_inst,band_inst,index_rehr,band_rehr,index_weim,band_weim,index_gtdx,band_gtdx,index_icon,band_icon,index_ndic,band_ndic,index_mexp,band_mexp,index_army,band_army,index_unfu,band_unfu,index_hewe,band_hewe,index_weex,band_weex,index_refu,band_refu,index_rela,band_rela,index_econ,band_econ,index_ndec,band_ndec,index_militarisation,band_militarisation,index_safety_security,band_safety_security,index_domestic_international_conflict,band_domestic_international_conflict
AFG,Afghanistan,2011,161,3.125864204,5,3.607,5,2.5,3,2.482,3,1.514,2,5,5,5,5,1.5,3,5,5,3.75,5,5,5,1.451,4,4.2272,5,2.632,5,4.289,5,5,5,1.668,4,3,4,1.064890417,3,1,1,4.982,5,3,4,1,1,1,1,2.554863015,5,3.549217647,5,3.037959742,5
AGO,Angola,2011,92,2.047981654,3,3.521,4,2.5,3,2.59,3,1.617,2,3,2,2,2,1,1,3,3,2.5,3,3.5,4,1.055,3,1.9036,4,1.105,4,2.002,5,3.126,5,1.834,4,1.333769004,1,1.342049484,4,1,1,1.19,5,3,4,1,1,1,1,1.807275674,2,2.377682353,3,1.816376812,4
ALB,Albania,2011,50,1.794201302,2,2.605,3,2.597,4,2.275,3,2.155,4,4,3,1,1,1,1,3,3,3,3,2,2,1.023,2,1.092,2,1,1,1,1,1.76,3,1.668,4,2.530707132,4,1.002144683,1,1,1,1.167,5,2,2,2,5,1,1,1.880579313,3,2.147735294,2,1.293075684,2
ARE,United Arab Emirates,2011,31,1.641857848,2,1.244,1,3.5,5,1.39,1,2.812,4,2,1,1,1,1.25,3,1,1,2,2,1.5,1,5,5,1.4544,3,1,1,1,1,2.902,5,2.106,5,1.530762484,2,1.559102428,5,1.369,5,1.002,2,2,2,1.125,4,1,1,2.227166603,4,1.673376471,1,1.212761675,2
ARG,Argentina,2011,64,1.878612603,2,3.802,5,4.436,5,2.98,4,2.242,4,2,1,2,2,1,1,3,3,2.75,3,2.5,2,1.027,2,1.8184,4,1,1,1,1,1.363,1,1.271,2,1.038557704,1,1.439000166,4,1.001,4,1,1,2,2,1,1,1,1,1.336418583,1,2.558729412,4,1.40257649,2
ARM,Armenia,2011,112,2.143013828,3,2.058,1,2.5,3,2.335,3,2.282,4,4,3,2,2,1,1,3,3,3,3,2.5,2,1.458,4,1.146,3,1.053,4,1,1,2.954,5,3.419,5,1.479268556,2,1.090956567,3,1.036,4,1.196,5,5,5,1.7,5,1,1,2.176553342,4,2.174588235,2,2.076154589,5
AUS,Australia,2011,10,1.431666377,1,2.58,3,2.229,2,1.61,1,2.068,3,1,1,1,1,1,1,2,1,1,1,1,1,3.715,5,1.2948,3,1,1,1,1,2.018,4,1.385,3,1.376765882,2,1.42008296,4,1.454,5,1,1,1,1,2.25,5,1,1,1.68304592,2,1.548841176,1,1.1147343,1
AUT,Austria,2011,8,1.396221529,1,1.958,1,2.596,4,1.35,1,1.807,3,2,1,1,1,1,1,1.5,1,1,1,2,2,2.258,5,1.6228,3,1,1,1,1,1.406,2,1.468,3,1.3147948,1,1.160961228,3,1.891,5,1,1,1,1,1.375,4,1,1,1.649969017,2,1.550841176,1,1.03442029,1
AZE,Azerbaijan,2011,120,2.225118392,3,2.266,2,1.678,1,2.045,2,2.907,5,4,3,2,2,1.25,3,2,1,3.75,5,2.5,2,2.086,5,1.6008,3,1.105,4,1,1,2.434,5,2.117,5,1.362684324,2,1.214908261,4,1,1,3.174,5,5,5,2,5,1,1,2.037887849,4,2.393547059,3,2.109049919,5
BDI,Burundi,2011,125,2.246729113,3,2.754,3,2.289,2,2.852,3,1.791,3,4,3,4,5,1.75,4,3,3,3.5,4,3,3,1.005,1,2.6424,5,1.474,5,1,1,2.343,5,1.349,2,2.871439897,4,1.014132913,1,1,1,1.871,5,3,4,1,1,1,1,1.951722267,3,2.586141176,4,2.055291465,4
BEL,Belgium,2011,18,1.482142357,2,2.286,2,2.79,4,2.27,3,1.767,2,2,1,1,1,1,1,2,1,1.25,1,1.5,1,1.642,4,1.0536,2,1,1,1,1,1.521,2,1.543,3,1.347638625,1,1.143693778,3,2.44,5,1,1,1,1,1.675,5,1,1,1.697550505,2,1.697535294,1,1.061956522,1
BEN,Benin,2011,108,2.122826979,3,2.646,3,3.5,5,3.082,4,1.578,2,4,3,4,5,1.25,3,3,3,2.375,3,2,2,1.006,1,1.0232,2,1,1,1,1,1.387,1,1.086,1,3.8,5,1.008523741,1,1,1,1.002,2,4,5,1,1,1,1,1.91668066,3,2.200129412,2,2.207729469,5
BFA,Burkina Faso,2011,44,1.750768001,2,2.842,3,3.5,5,1.515,1,1.261,1,4,3,2,2,2.75,5,2.5,3,2.75,3,2,2,1.01,2,1,1,1,1,1,1,1.597,3,1.099,1,1.066962335,1,1.01374797,1,1,1,1.002,2,2,2,1,1,1,1,1.622774622,1,2.121382353,2,1.40257649,2
BGD,Bangladesh,2011,95,2.054292351,3,1.853,1,1.5,1,2.21,2,1.364,1,3,2,3,3,3.75,5,4,4,2.75,3,4,5,1.034,2,2.5844,5,1.105,4,1,1,1.459,2,1.143,1,4.190351468,5,1.209629041,4,1,1,1.002,2,2,2,1,1,1,1,1.840093533,3,2.5417,4,1.61468599,3
BGR,Bulgaria,2011,28,1.606773463,2,2.782,3,3.246,4,2.072,2,2.036,3,3,2,1,1,1,1,3,3,1.5,1,2,2,1.565,4,1.0152,2,1,1,1,1,1.583,2,1.637,4,1.225953718,1,1.344249159,4,1.134,4,1.011,3,1,1,2,5,1,1,1.673920877,2,1.986894118,2,1.09178744,1
BHR,Bahrain,2011,110,2.138724502,3,1.943,1,5,5,1.27,1,1.704,2,2,1,4,5,2.75,5,3,3,5,5,1.5,1,3.644,5,1.3792,3,1,1,1,1,2.534,5,1.938,5,3.34349902,4,1.15837661,3,1,1,1.002,2,2,2,1,1,1,1,2.082007522,4,2.471688235,4,1.805152979,4
BIH,Bosnia and Herzegovina,2011,46,1.773317963,2,2.27,2,3.245,4,1.88,2,1.609,2,3,2,2,2,1,1,2,1,2.75,3,2,2,1,1,1.6704,3,1,1,1,1,1.631,3,1.443,3,1.376416797,2,1.229096166,4,1,1,2.525,5,2,2,1.625,5,1,1,1.564007182,1,2.127435294,2,1.459943639,3
BLR,Belarus,2011,104,2.100999755,3,2.864,3,2.669,4,2.96,4,4.307,5,3,2,3,3,1,1,2,1,3.25,4,2.5,2,1.202,3,1.704,4,1,1,1,1,1.588,2,2.183,5,1.310013563,1,1.507685022,4,2.317,5,1.019,4,3,4,1,1,1,1,1.943534247,3,2.436588235,3,1.805152979,4
BOL,Bolivia,2011,71,1.942423232,3,3.929,5,2.781,4,3.042,4,1.728,2,4,3,3,3,1.25,3,3,3,3.25,4,1.5,1,1.028,2,1.3792,3,1,1,1,1,1.659,3,1.684,4,1.8,3,1.070224629,3,1,1,1.002,2,2,2,1,1,1,1,1.797216111,2,2.323482353,3,1.603864734,3
BRA,Brazil,2011,85,2.005343602,3,3.836,5,1.901,2,5,5,2.97,5,3.8,3,1,1,1,1,4,4,1.25,1,4,5,1.067,3,1.052,2,1.105,4,2.017,5,1.731,3,1.248,2,2.026687242,3,1.862712589,5,1.053,4,1,1,1,1,1,1,1,1,1.899559544,3,2.7125,4,1.215531401,2
BTN,Bhutan,2011,58,1.851245613,2,2.965,3,1.5,1,2.17,2,2.084,3,2,1,2,2,1,1,2,1,1.25,1,3,3,1,1,1.4376,3,1,1,1,1,1.956,4,2.09,5,2.942727916,4,1,1,1,1,4.506,5,2,2,1,1,1,1,1.645732696,2,2.271358824,3,1.40257649,2
BWA,Botswana,2011,55,1.842459322,2,3.878,5,4.5,5,4.467,5,3.025,5,3,2,1,1,1.5,3,3,3,1.5,1,2,2,1.138,3,1,1,1,1,1,1,2.338,4,1.684,4,1.539645139,2,1.052737211,2,1,1,1.001,2,1,1,1,1,1,1,1.679853054,2,2.605323529,4,1,1
CAF,Central African Republic,2011,151,2.649817051,4,2.491,2,1.5,1,4.365,5,1.388,1,5,5,4,5,2.25,4,4,4,3.5,4,4,5,1.028,2,2.8324,5,1.579,5,2.197,5,2.152,4,1.066,1,4.99030592,5,1.005114245,1,1,1,3.527,5,3,4,1,1,1,1,2.322820857,5,3.121170588,5,2.30705475,5
CAN,Canada,2011,6,1.380252917,1,2.073,1,1.979,2,1.92,2,1.926,3,2,1,1,1,1,1,1,1,1,1,1,1,1.567,4,1.7,3,1,1,1,1,1.664,3,1.292,2,1.381199827,2,1.363936252,4,1.926,5,1,1,1.5,2,1.725,5,1,1,1.628129906,1,1.412176471,1,1.167190016,1
CHE,Switzerland,2011,12,1.435234289,1,1.969,1,2.071,2,1.595,1,1.625,2,2,1,1,1,1,1,1,1,1,1,1.5,1,1.534,4,1.0344,2,1,1,1,1,1.368,1,1.502,3,1.410145293,2,1.304490031,4,5,5,1,1,1,1,1.25,4,1,1,2.149515334,4,1.365994118,1,1.02294686,1
CHL,Chile,2011,39,1.721545763,2,3.674,5,1.998,2,2.38,3,3.532,5,3,2,1,1,1.25,3,2,1,1,1,2,2,3.439,5,2.0024,4,1,1,1,1,1.784,4,1.52,3,4.108457434,5,1.290852045,4,1.163,4,1.002,2,1,1,1,1,1,1,2.23908653,4,2.026317647,2,1,1
CHN,China,2011,117,2.1673091,3,2.079,2,2.5,3,1.545,1,1.957,3,2,1,3,3,3,5,2,1,2.75,3,4,5,1.09,3,3.0048,5,1.211,5,2.169,5,1.626,3,1.263,2,1.079504541,1,5,5,1.091,4,1.005,3,3,4,1,1,1,1,2.022941711,4,2.347576471,3,2.062204509,4
CIV,Cote d' Ivoire,2011,138,2.355663527,4,3.491,4,1.402,1,4.244,5,1.483,1,4,3,4,5,3.5,5,3.5,4,4,5,3.5,4,1,1,2.2296,4,1.158,4,1,1,1.478,2,1.117,1,4.174861325,5,1.01171327,1,1,1,1.868,5,2,2,1,1,1,1,1.974991909,4,3.015741176,5,1.821436393,4
