code,name,year,rank,index_over,band_over,index_dist,band_dist,index_poli,band_poli,index_homi,band_homi,index_jail,band_jail,index_wmid,band_wmid,index_inco,band_inco,index_demo,band_demo,index_crim,band_crim,index_inst,band_inst,index_rehr,band_rehr,index_weim,band_weim,index_gtdx,band_gtdx,index_icon,band_icon,index_ndic,band_ndic,index_mexp,band_mexp,index_army,band_army,index_unfu,band_unfu,index_hewe,band_hewe,index_weex,band_weex,index_refu,band_refu,index_rela,band_rela,index_econ,band_econ,index_ndec,band_ndec,index_militarisation,band_militarisation,index_safety_security,band_safety_security,index_domestic_international_conflict,band_domestic_international_conflict
AFG,Afghanistan,2015,160,3.25357606,5,3.563,5,3.5,5,3.062,4,1.665,2,5,5,5,5,2,4,5,5,5,5,5,5,1.944,5,4.578,5,2.947,5,4.474,5,5,5,1.83,5,1.46826554,2,1.103,3,1,1,4.426,5,3,4,1,1,1,1,2.458443005,5,3.861529412,5,3.107661836,5
AGO,Angola,2015,74,1.921755771,3,2.912,3,2.5,2,2.712,3,1.728,2,3,2,2,2,1.75,3,3,3,2.75,3,3,3,1.018,2,1.696,3,1.053,4,1,1,3.246,5,1.6,4,2.236249585,3,1.349,5,1,1,1.011,3,2,2,1,1,1,1,1.896911716,3,2.351588235,3,1.408038647,2
ALB,Albania,2015,57,1.824321613,2,3.132,4,2.669,4,2.848,4,2.416,4,4,3,1,1,1,1,3,3,2.75,3,2,2,1.138,3,1,1,1,1,1,1,1.664,3,1.522,4,2.621394141,4,1.001,1,1,1,1.116,5,2,2,1.625,4,1,1,1.876105193,3,2.250205882,3,1.258655395,2
ARE,United Arab Emirates,2015,49,1.792923043,2,1.355,1,4.5,5,1.375,1,1.846,3,2,1,1,1,1,1,1,1,2.25,2,3,3,5,5,1.986,3,1.053,4,1,1,2.864,5,2.084,5,2.097409841,3,1.485,5,1.962,5,1,1,2,2,1.625,4,1,1,2.378342334,5,1.899264706,2,1.264117552,2
ARG,Argentina,2015,77,1.928884502,3,3.57,5,4.436,5,3.085,4,2.242,4,3,2,2,2,1.25,2,3,3,2.75,3,2,2,1.016,2,1.772,3,1,1,1,1,1.368,1,1.264,2,2.451516698,4,1.279,4,1.001,4,1,1,2,2,1,1,1,1,1.649354906,2,2.511117647,4,1.40257649,2
ARM,Armenia,2015,94,2.031519832,3,1.787,1,2.5,2,2.062,2,2.044,3,3,2,2,2,1.5,3,2,1,3,4,3,3,1.346,4,1,1,1.105,4,1.043,4,2.921,5,2.36,5,1.86010646,3,1.076,3,1,1,1.135,5,5,5,1.5,4,1,1,1.894247819,3,2.067088235,2,2.071811594,5
AUS,Australia,2015,10,1.37542754,1,2.462,2,2.318,2,1.53,1,2.139,3,1,1,1,1,1,1,1,1,1,1,1,1,4.023,5,2.097,3,1,1,1,1,1.956,4,1.367,3,1,1,1.252,4,1.568,5,1,1,1,1,1.75,5,1,1,1.656,2,1.472676471,1,1.06884058,1
AUT,Austria,2015,3,1.247346425,1,1.677,1,2.635,3,1.465,1,1.799,3,2,1,1,1,1,1,1,1,1,1,1,1,1.051,2,1,1,1,1,1,1,1.354,1,1.396,3,1.112655106,2,1.071,3,1.553,5,1,1,1,1,1.5,4,1,1,1.394077071,1,1.329205882,1,1.04589372,1
AZE,Azerbaijan,2015,133,2.293362157,3,2.199,2,1.678,1,2.045,2,2.859,5,4,3,2,2,1.5,3,2,1,3.25,4,3,3,4.061,5,1.426,3,1.211,5,1.217,5,2.324,5,2.045,5,1.971817269,3,1.272,4,1,1,3.142,5,5,5,1.625,4,1,1,2.330566737,5,2.391411765,3,2.129233494,5
BDI,Burundi,2015,132,2.267694716,3,2.636,3,2.289,2,2.852,4,1.625,2,4,3,4,5,2.25,4,3,3,3.375,5,4,5,1.01,1,2.405,4,1,1,1,1,2.099,4,1.29,2,3.348351789,5,1.015,2,1,1,1.475,5,3,4,1.225,4,1,1,1.97292374,4,2.647588235,4,2.027093398,4
