code,name,year,rank,index_over,band_over,index_dist,band_dist,index_poli,band_poli,index_homi,band_homi,index_jail,band_jail,index_wmid,band_wmid,index_inco,band_inco,index_demo,band_demo,index_crim,band_crim,index_inst,band_inst,index_rehr,band_rehr,index_weim,band_weim,index_gtdx,band_gtdx,index_icon,band_icon,index_ndic,band_ndic,index_mexp,band_mexp,index_army,band_army,index_unfu,band_unfu,index_hewe,band_hewe,index_weex,band_weex,index_refu,band_refu,index_rela,band_rela,index_econ,band_econ,index_ndec,band_ndec,index_militarisation,band_militarisation,index_safety_security,band_safety_security,index_domestic_international_conflict,band_domestic_international_conflict
AFG,Afghanistan,2022,163,3.545363214,5,4.973,5,3.5,5,3.165,4,1.696,2,5,5,5,5,2.75,4,5,5,5,5,5,5,1.45,4,4.586,5,5,5,5,5,5,5,1.626,4,2.290644499,4,1.003,1,1,1,5,5,4,5,1,1,1,1,2.455428765,5,4.134970588,5,3.626409018,5
AGO,Angola,2022,75,1.969530933,3,3.458,5,2.5,2,2.712,3,1.759,2,3,2,2,2,3.25,5,3,3,2.25,2,3,3,1.257,4,1.063,3,1.211,4,1.913,4,1.631,3,1.471,3,1.893446782,4,1.365,5,1,1,1.011,3,2,1,1,1,1,1,1.68234668,2,2.438794118,3,1.608098229,3
ALB,Albania,2022,40,1.764205096,2,2.442,3,2.834,4,2.065,3,2.392,4,4,3,2,2,1.75,1,3,3,2.25,2,2,2,1.048,2,1,1,1,1,1,1,1.64,3,1.399,3,1,1,1.001,1,1,1,1.229,4,2,1,1,1,1,1,1.657470588,2,2.130294118,2,1.40257649,1
ARE,United Arab Emirates,2022,79,1.97910647,3,1.225,1,4.5,5,1.33,1,1.846,3,2,1,1,1,1,1,1,1,2.25,2,3,3,5,5,1.499,3,1,1,1,1,3.179,5,2.023,5,2.638569101,4,1.494,5,2.742,5,1.001,2,3,3,4.125,5,1,1,2.611125777,5,1.853970588,2,1.689412238,3
ARG,Argentina,2022,64,1.904472938,2,3.312,4,5,5,2.785,4,2.82,5,3,2,2,2,2.75,4,2.5,3,2.25,2,2.5,3,1.06,2,2.173,4,1,1,1,1,1.253,1,1.242,2,2.193715078,4,1.195,4,1,1,1,1,1,1,1,1,1,1,1.593084127,2,2.650941176,4,1.201288245,1
ARM,Armenia,2022,69,1.932677258,3,1.432,1,2.5,2,2.118,3,1.593,2,3,2,2,2,1.5,1,2,1,3,3,3,3,2.46,5,1,1,1.263,4,1.391,4,3.131,5,3.337,5,1,1,1.087,3,1,1,1.145,4,3,3,1.65,4,1,1,2.065705882,4,2.003735294,2,1.769334944,3
AUS,Australia,2022,26,1.565001861,2,2.48,3,2.36,2,1.445,1,2.266,4,1,1,1,1,1.75,1,1,1,1,1,2,2,5,5,1.973,4,1.263,4,1,1,1.999,4,1.35,3,1.183554892,2,1.248,4,1.906,5,1,1,2,1,1.35,3,1,1,1.85453587,3,1.655705882,1,1.260518519,1
AUT,Austria,2022,5,1.309919594,1,1.651,1,2.7,4,1.43,1,1.744,2,2,1,1,1,1.75,1,1,1,1,1,1,1,1.125,3,2.308,4,1.211,4,1.174,4,1.42,2,1.397,3,1.066020067,1,1.073,3,1.196,5,1,1,1,1,1.45,3,1,1,1.342531773,1,1.466794118,1,1.098074074,1
AZE,Azerbaijan,2022,110,2.172842803,3,1.544,1,1.678,1,1.91,2,2.693,5,4,3,2,2,1.75,1,2,1,3.375,4,4,4,1.996,5,1,1,1.316,4,2.207,5,3.361,5,1.987,5,1.081775211,2,1.271,4,1,1,3.218,5,3,3,1,1,1.042,5,2.097914731,4,2.441382353,3,1.88784058,4
BDI,Burundi,2022,134,2.52671138,4,2.559,3,1.821,1,3.013,4,1.759,2,3,2,4,4,3,4,4,4,3.5,4,4.5,5,1.002,1,2.898,5,1.474,4,2.107,5,1.932,4,1.364,3,1.597837218,3,1.02,2,1,1,1.9,5,3,3,2.875,5,2.007,5,1.579510261,2,2.966617647,5,2.652916264,5
BEL,Belgium,2022,24,1.544497603,2,2.953,4,2.801,4,2.27,3,1.712,2,3,2,1,1,1.75,1,2,1,1.25,1,1.5,1,1.435,4,1.701,3,1.684,5,1,1,1.44,2,1.32,3,1.081923431,2,1.105,3,1.505,5,1,1,1,1,1.575,4,1,1,1.610814521,2,1.856764706,2,1.123270531,1
