code,name,year,rank,index_over,band_over,index_dist,band_dist,index_poli,band_poli,index_homi,band_homi,index_jail,band_jail,index_wmid,band_wmid,index_inco,band_inco,index_demo,band_demo,index_crim,band_crim,index_inst,band_inst,index_rehr,band_rehr,index_weim,band_weim,index_gtdx,band_gtdx,index_icon,band_icon,index_ndic,band_ndic,index_mexp,band_mexp,index_army,band_army,index_unfu,band_unfu,index_hewe,band_hewe,index_weex,band_weex,index_refu,band_refu,index_rela,band_rela,index_econ,band_econ,index_ndec,band_ndec,index_militarisation,band_militarisation,index_safety_security,band_safety_security,index_domestic_international_conflict,band_domestic_international_conflict
AFG,Afghanistan,2010,159,3.162157474,5,3.96,5,2.5,3,2.482,3,1.372,1,5,5,5,5,1.5,4,5,5,3.75,5,5,5,1.29,4,4.2156,5,2.526,5,4.129,5,5,5,1.297,2,4.2,5,1.038494315,2,1,1,4.831,5,3,4,1,1,1.458,5,2.628793114,5,3.549388235,5,3.087019324,5
AGO,Angola,2010,77,1.943108373,3,3.521,5,2.5,3,2.59,3,1.617,2,3,2,2,2,1,1,2.5,3,2.75,3,3,3,1.082,3,1.4812,3,1.105,4,1,1,3.026,5,1.938,4,1.539251092,2,1.326101839,4,1,1,1.206,5,3,4,1,1,1,1,1.832282806,3,2.266482353,3,1.61468599,3
ALB,Albania,2010,49,1.78086318,2,2.605,3,2.599,4,2.365,3,2.155,4,4,3,1,1,1,1,3,3,3,3,2,2,1.056,2,1.1844,3,1,1,1,1,1.984,4,1.663,4,1.5447221,2,1.002419643,1,1,1,1.177,5,2,2,2,5,1,1,1.794276655,2,2.165111765,2,1.293075684,2
ARE,United Arab Emirates,2010,31,1.646523223,2,1.244,1,3.5,5,1.39,1,2.812,5,2,1,1,1,1.25,3,1,1,3,3,2,2,5,5,1,1,1,1,1,1,3.069,5,2.377,5,1.796143725,2,1.52313774,4,1.294,5,1.002,2,1,1,1,1,1,1,2.290335334,5,1.823117647,1,1,1
ARG,Argentina,2010,69,1.898985233,2,3.706,5,4.436,5,2.848,3,2.179,4,2,1,2,2,1,1,3,3,2.5,2,2,2,1.025,2,1.196,3,1,1,1,1,1.497,2,1.291,2,1.47231193,2,1.422612586,4,1.001,4,1,1,3,4,1,1,1,1,1.402438919,1,2.404323529,3,1.603864734,3
ARM,Armenia,2010,124,2.213136095,3,2.058,1,2.5,3,2.157,2,1.941,3,4,3,2,2,1,1,3,3,3.75,5,3,3,1.216,4,1.334,3,1.053,3,1,1,3.275,5,3.312,5,2.329010381,3,1.090406648,3,1.036,4,1.2,5,5,5,1.7,5,1,1,2.273131806,5,2.282147059,3,2.076154589,5
AUS,Australia,2010,9,1.394315083,1,2.58,3,2.213,2,1.61,1,2.028,3,1,1,1,1,1,1,2,1,1,1,1,1,3.059,5,1.1612,3,1,1,1,1,1.994,4,1.406,3,1.214668396,1,1.371360155,4,1.347,5,1,1,1,1,2.125,5,1,1,1.558965721,1,1.536041176,1,1.10326087,1
AUT,Austria,2010,5,1.362340227,1,1.855,1,2.601,4,1.27,1,1.775,3,2,1,1,1,1,1,1.5,1,1,1,1.5,1,2.294,5,1.882,4,1,1,1,1,1.368,1,1.637,4,1.121711474,1,1.195056193,3,1.73,5,1,1,1,1,1.375,4,1,1,1.624505384,1,1.486382353,1,1.03442029,1
AZE,Azerbaijan,2010,128,2.23820447,3,2.309,2,1.678,1,2.042,2,2.867,5,4,3,2,2,1.25,3,2,1,3.75,5,2.5,3,1.938,5,1.8564,4,1.158,4,1.043,4,2.706,5,2.169,5,1.240603773,1,1.216008099,4,1,1,3.178,5,5,5,2,5,1,1,2.044425402,4,2.408964706,3,2.123167472,5
BDI,Burundi,2010,136,2.315968664,3,2.818,3,2.289,2,2.852,3,1.823,3,4,3,4,5,2.25,5,3,3,3,3,4,5,1.002,1,2.41,4,1.684,5,2.183,5,2.529,5,1.346,2,1.051913654,1,1.013582994,1,1,1,1.735,5,3,4,1,1,1,1,1.758739782,2,2.667882353,4,2.315057971,5
