code,name,year,rank,index_over,band_over,index_dist,band_dist,index_poli,band_poli,index_homi,band_homi,index_jail,band_jail,index_wmid,band_wmid,index_inco,band_inco,index_demo,band_demo,index_crim,band_crim,index_inst,band_inst,index_rehr,band_rehr,index_weim,band_weim,index_gtdx,band_gtdx,index_icon,band_icon,index_ndic,band_ndic,index_mexp,band_mexp,index_army,band_army,index_unfu,band_unfu,index_hewe,band_hewe,index_weex,band_weex,index_refu,band_refu,index_rela,band_rela,index_econ,band_econ,index_ndec,band_ndec,index_militarisation,band_militarisation,index_safety_security,band_safety_security,index_domestic_international_conflict,band_domestic_international_conflict
AFG,Afghanistan,2019,163,3.538324462,5,4.708,5,3.5,5,3.138,4,1.696,2,5,5,5,5,3,5,5,5,5,5,5,5,1.468,4,4.643,5,4.684,5,5,5,5,5,1.722,4,1.610928714,3,1.121,4,1,1,5,5,4,5,1,1,1.208,5,2.409697496,5,4.133823529,5,3.635710145,5
AGO,Angola,2019,81,1.952005305,3,3.458,5,2.5,2,2.712,3,1.759,2,3,2,2,2,2,3,3,3,2.25,2,3,3,1.277,4,1.382,2,1.105,4,2.002,4,2.018,4,1.52,4,2.15247716,4,1.353,5,1,1,1.009,3,2,1,1,1,1,1,1.764350254,3,2.347029412,3,1.615088567,3
ALB,Albania,2019,39,1.732892756,2,2.807,3,2.828,4,2.185,3,2.495,4,4,3,1,1,1.75,2,3,3,2.25,2,2,2,1.086,3,1,1,1,1,1,1,1.578,2,1.423,3,1.15786362,2,1.001,1,1,1,1.155,4,2,1,1.25,2,1,1,1.676042779,2,2.176470588,2,1.224235105,1
ARE,United Arab Emirates,2019,64,1.886081407,2,1.355,1,4.5,5,1.325,1,1.846,3,2,1,2,2,1,1,1,1,2.25,2,2.5,3,5,5,1.332,2,1,1,1,1,3.203,5,2.048,5,1.74468947,3,1.503,5,2.628,5,1.001,2,2,1,3.125,5,1,1,2.493198761,5,1.796205882,1,1.597624799,3
ARG,Argentina,2019,84,1.984094258,3,3.725,5,5,5,3.008,4,2.82,5,3,2,2,2,3,5,3,3,2.25,2,2,2,1.034,2,2.34,4,1,1,1,1,1.392,1,1.254,2,3.373247782,5,1.244,4,1,1,1,1,1,1,1,1,1,1,1.755205621,3,2.7455,4,1.201288245,1
ARM,Armenia,2019,98,2.047427635,3,1.855,1,2.5,2,2.24,3,1.941,3,3,2,2,2,1.75,2,2,1,2.875,3,2.5,3,1.618,5,1.204,2,1.158,4,1,1,2.969,5,3.401,5,1,1,1.084,3,1,1,1.128,4,5,5,1.9,4,1,1,1.954588235,4,2.044647059,2,2.105333333,4
AUS,Australia,2019,15,1.43864444,1,2.668,3,2.326,2,1.47,1,2.361,4,1,1,1,1,1,1,1,1,1,1,1.5,1,4.78,5,2.219,4,1,1,1,1,2.08,4,1.348,3,1,1,1.291,4,1.514,5,1,1,1,1,1.75,4,1,1,1.754764706,3,1.570088235,1,1.06884058,1
AUT,Austria,2019,2,1.258702233,1,1.853,1,2.653,3,1.31,1,1.775,2,2,1,1,1,1,1,1,1,1,1,1,1,1.051,2,1.882,3,1,1,1,1,1.354,1,1.365,3,1.290460134,2,1.078,3,1.224,5,1,1,1,1,1.5,3,1,1,1.354524722,1,1.377852941,1,1.04589372,1
AZE,Azerbaijan,2019,124,2.27386705,3,1.83,1,1.678,1,2.035,2,2.733,4,4,3,2,2,2.25,3,2,1,3.5,5,3,3,3.606,5,1.204,2,1.263,4,1.348,4,2.735,5,2.003,5,1.015740611,1,1.267,4,1,1,3.05,5,5,5,1.25,2,1,1,2.207087131,5,2.418264706,3,2.126541063,4
BDI,Burundi,2019,139,2.508509638,4,3.687,5,1.821,1,3.013,4,1.704,2,3,2,4,4,3.25,5,4,4,4,5,4.5,5,1.005,1,2.832,4,1.263,4,2.015,4,2.027,4,1.397,3,1.005678233,1,1.02,2,1,1,2.203,5,3,4,2.5,5,1,1,1.525256263,1,3.173941176,5,2.375534622,5
