code,name,year,rank,index_over,band_over,index_inci,band_inci,index_fata,band_fata,index_inju,band_inju,index_prop,band_prop
AFG,Afghanistan,2022,1,8.459,6,231,6,638,6,899,6,0,1
AGO,Angola,2022,91,0.03,2,0,1,0,1,0,1,0,1
ALB,Albania,2022,94,0,1,0,1,0,1,0,1,0,1
ARE,United Arab Emirates,2022,77,0.423,2,1,2,0,1,0,1,0,1
ARG,Argentina,2022,58,1.868,2,6,3,0,1,2,2,0,1
ARM,Armenia,2022,94,0,1,0,1,0,1,0,1,0,1
AUS,Australia,2022,55,2.085,3,1,2,3,2,2,2,0,1
AUT,Austria,2022,63,1.502,2,0,1,0,1,0,1,0,1
AZE,Azerbaijan,2022,94,0,1,0,1,0,1,0,1,0,1
BDI,Burundi,2022,36,3.088,3,0,1,0,1,0,1,0,1
BEL,Belgium,2022,62,1.578,2,3,2,1,2,1,2,0,1
BEN,Benin,2022,27,4.205,4,18,3,27,4,25,4,1,2
BFA,Burkina Faso,2022,2,8.161,6,310,6,1135,6,496,6,84,6
BGD,Bangladesh,2022,46,2.647,3,1,2,0,1,2,2,0,1
BGR,Bulgaria,2022,94,0,1,0,1,0,1,0,1,0,1
BHR,Bahrain,2022,81,0.233,2,0,1,0,1,0,1,0,1
BIH,Bosnia and Herzegovina,2022,94,0,1,0,1,0,1,0,1,0,1
BLR,Belarus,2022,94,0,1,0,1,0,1,0,1,0,1
BOL,Bolivia,2022,94,0,1,0,1,0,1,0,1,0,1
BRA,Brazil,2022,47,2.617,3,2,2,4,2,12,3,0,1
BTN,Bhutan,2022,94,0,1,0,1,0,1,0,1,0,1
BWA,Botswana,2022,94,0,1,0,1,0,1,0,1,0,1
CAF,Central African Republic,2022,57,2.017,3,1,2,3,2,2,2,0,1
CAN,Canada,2022,56,2.083,3,0,1,0,1,0,1,0,1
CHE,Switzerland,2022,67,1.079,2,0,1,0,1,0,1,0,1
CHL,Chile,2022,16,5.936,4,337,6,9,3,51,5,0,1
CHN,China,2022,94,0,1,0,1,0,1,0,1,0,1
CIV,Cote d' Ivoire,2022,41,2.72,3,4,2,0,1,0,1,0,1
CMR,Cameroon,2022,11,6.75,5,122,6,172,6,55,5,72,6
COD,Democratic Republic of the Congo,2022,14,6.19,5,17,3,136,6,7,3,0,1
COG,Republic of the Congo,2022,94,0,1,0,1,0,1,0,1,0,1
COL,Colombia,2022,15,6.032,5,51,5,33,4,118,6,7,3
CRI,Costa Rica,2022,94,0,1,0,1,0,1,0,1,0,1
CUB,Cuba,2022,94,0,1,0,1,0,1,0,1,0,1
CYP,Cyprus,2022,75,0.506,2,0,1,0,1,0,1,0,1
CZE,Czechia,2022,94,0,1,0,1,0,1,0,1,0,1
DEU,Germany,2022,35,3.221,3,8,3,0,1,0,1,0,1
DJI,Djibouti,2022,45,2.665,3,1,2,7,3,6,3,0,1
DNK,Denmark,2022,91,0.03,2,0,1,0,1,0,1,0,1
DOM,Dominican Republic,2022,94,0,1,0,1,0,1,0,1,0,1
DZA,Algeria,2022,38,2.963,3,1,2,3,2,0,1,0,1
ECU,Ecuador,2022,69,1.023,2,0,1,0,1,0,1,0,1
EGY,Egypt,2022,17,5.897,4,31,4,72,5,34,4,3,3
ERI,Eritrea,2022,94,0,1,0,1,0,1,0,1,0,1
ESP,Spain,2022,60,1.692,2,7,3,0,1,2,2,0,1
EST,Estonia,2022,94,0,1,0,1,0,1,0,1,0,1
ETH,Ethiopia,2022,59,1.858,2,2,2,0,1,7,3,0,1
FIN,Finland,2022,94,0,1,0,1,0,1,0,1,0,1
FRA,France,2022,34,3.34,3,9,3,4,2,3,2,0,1
GAB,Gabon,2022,94,0,1,0,1,0,1,0,1,0,1
GBR,United Kingdom,2022,44,2.683,3,4,2,0,1,2,2,0,1
GEO,Georgia,2022,94,0,1,0,1,0,1,0,1,0,1
