code,name,year,rank,index_over,band_over,index_dist,band_dist,index_poli,band_poli,index_homi,band_homi,index_jail,band_jail,index_wmid,band_wmid,index_inco,band_inco,index_demo,band_demo,index_crim,band_crim,index_inst,band_inst,index_rehr,band_rehr,index_weim,band_weim,index_gtdx,band_gtdx,index_icon,band_icon,index_ndic,band_ndic,index_mexp,band_mexp,index_army,band_army,index_unfu,band_unfu,index_hewe,band_hewe,index_weex,band_weex,index_refu,band_refu,index_rela,band_rela,index_econ,band_econ,index_ndec,band_ndec,index_militarisation,band_militarisation,index_safety_security,band_safety_security,index_domestic_international_conflict,band_domestic_international_conflict
AFG,Afghanistan,2014,161,3.166642912,5,3.792,5,3.5,5,2.522,3,1.649,2,5,5,5,5,1.5,3,5,5,5,5,4,5,1.982,5,4.588,5,2.947,5,4.411,5,5,5,1.939,5,1.770136844,3,1.060876009,3,1,1,4.33,5,3,4,1,1,1,1,2.503817748,5,3.644323529,5,3.094980676,5
AGO,Angola,2014,102,2.064943148,3,3.748,5,2.5,3,2.59,3,1.728,2,3,2,2,2,2,4,3,3,2.75,3,3,3,1.028,2,1.473,3,1.053,4,1,1,3.131,5,1.758,4,3.698029545,5,1.354037714,4,1,1,1.013,4,3,4,1,1,1,1,2.076010131,4,2.420176471,3,1.609326892,3
ALB,Albania,2014,56,1.823922408,2,2.796,3,2.66,4,2.712,3,2.416,4,4,3,1,1,1,1,3,3,3.25,4,2,2,1.105,3,1.141,2,1,1,1,1,1.683,3,1.673,4,2.010986785,4,1.002144683,1,1,1,1.115,4,2,2,1.75,5,1,1,1.820612213,3,2.270764706,3,1.270128824,2
ARE,United Arab Emirates,2014,44,1.735311276,2,1.355,1,4.5,5,1.285,1,1.846,3,2,1,1,1,1,1,1,1,2.25,2,2,2,5,5,1,1,1.053,4,1,1,2.859,5,1.98,5,3.169097353,5,1.613049461,5,1.812,5,1,1,2,2,1.5,4,1,1,2.487726064,5,1.713029412,1,1.252644122,2
ARG,Argentina,2014,66,1.881867386,2,3.535,5,4.436,5,3.02,4,2.242,4,3,2,2,2,1,1,3,3,2.75,3,1.5,1,1.02,2,2.024,4,1,1,1,1,1.435,2,1.266,2,1.664317171,3,1.423657432,4,1.001,4,1,1,2,2,1,1,1,1,1.590859214,2,2.434323529,3,1.40257649,2
ARM,Armenia,2014,105,2.075780224,3,1.883,1,2.5,3,2.118,2,2.21,4,3,2,2,2,1,1,2.5,3,3.25,4,2.5,3,1.561,4,1,1,1.053,4,1.391,5,2.969,5,3.301,5,1.041028176,1,1.095245933,3,1,1,1.136,5,5,5,1.7,5,1,1,1.942929068,4,2.082205882,2,2.154858293,5
AUS,Australia,2014,9,1.382472613,1,2.448,2,2.327,2,1.55,1,2.028,3,1,1,1,1,1,1,1.5,1,1,1,1,1,4.015,5,1,1,1,1,1,1,1.922,4,1.367,3,1.025626759,1,1.476724594,4,1.562,5,1,1,1,1,1.875,5,1,1,1.692672194,2,1.459088235,1,1.08031401,1
AUT,Austria,2014,3,1.276866923,1,1.67,1,2.639,4,1.445,1,1.799,3,2,1,1,1,1,1,1,1,1,1,1,1,1.518,4,1.415,3,1,1,1,1,1.382,1,1.411,3,1.197854211,2,1.090241673,3,1.646,5,1,1,1,1,1.5,4,1,1,1.483907849,1,1.351,1,1.04589372,1
AZE,Azerbaijan,2014,130,2.299250537,3,2.267,2,1.678,1,2.07,2,2.756,4,4,3,2,2,1.5,3,2,1,3.75,5,3,3,3.399,5,1.612,3,1.211,5,1.261,5,2.257,5,2.088,5,1.512458704,3,1.286507687,4,1,1,3.124,5,5,5,1.75,5,1,1,2.198378851,5,2.458911765,3,2.149563607,5
BDI,Burundi,2014,127,2.266310931,3,2.636,3,2.289,2,2.852,4,1.815,3,4,3,4,5,1.75,4,3,3,3.25,4,3.5,4,1.012,2,2.648,4,1.105,4,1,1,2.276,5,1.299,2,4.38599195,5,1.014132913,2,1,1,1.492,5,3,4,1.125,4,1,1,2.116963685,4,2.563,4,2.02873591,4
